query,oracle_alpha,best_ndcg,ndcg_at_alpha1,curve_range,n_argmax_ties
what forms the epineurium,0.0,1.0,0.6309297535714575,0.36907024642854247,20
an alpha helix is an example of which protein structure?,0.85,1.0,1.0,1.0,4
aggregate demand curve,0.0,0.6309297535714575,0.0,0.6309297535714575,3
what county is ackley iowa in,0.0,1.0,1.0,0.0,21
"weather in medellin, colombia",0.8,0.6309297535714575,0.6309297535714575,0.2975964202381242,5
what is adiabatic?,0.3,1.0,0.6309297535714575,0.5,6
how much does a lipid panel cost,0.35,1.0,1.0,1.0,14
what is a nrr noise reduction rating mean,0.0,1.0,0.5,0.5,4
fibroid symptoms after menopause,0.9,0.6309297535714575,0.6309297535714575,0.32989975790747633,3
what are the requirements for neurologist,0.1,1.0,1.0,0.36907024642854247,19
meaning of ..bann..,0.85,0.3562071871080222,0.3562071871080222,0.3562071871080222,4
watts & browning engineers,0.95,0.38685280723454163,0.38685280723454163,0.08582281157056043,2
how long was jack denison dorothy dandridge married,0.0,1.0,1.0,0.0,21
literal define,0.25,1.0,1.0,0.5693234419266069,16
what does lease to purchase on car mean?,0.7,1.0,0.6309297535714575,0.6845351232142712,4
steering define,0.3,0.5,0.5,0.5,15
what does fb mean on a ring,0.0,1.0,0.6309297535714575,0.36907024642854247,20
what causes elevation in ast (sgot),0.0,0.0,0.0,0.0,21
what is garlic used for,0.0,1.0,0.6309297535714575,0.36907024642854247,19
what is garlic used for,0.6,0.3333333333333333,0.2890648263178879,0.3333333333333333,1
definition of legal term injunctive relief,0.0,0.5,0.5,0.0,21
how many seconds should check for breathing,0.0,1.0,1.0,0.0,21
what does the term bar none mean,0.0,0.6309297535714575,0.5,0.20025319549806447,12
what is a mini whoodle,0.65,1.0,1.0,0.5,8
is frida kahlo mexican,0.1,0.6309297535714575,0.6309297535714575,0.13092975357145753,19
is frida kahlo mexican,0.0,1.0,1.0,0.0,21
what causes everything to taste sugary,0.8,0.6309297535714575,0.5,0.6309297535714575,1
what color is venus planet,0.8,0.3562071871080222,0.3562071871080222,0.3562071871080222,5
what class lever is a nutcracker,0.0,0.6309297535714575,0.5,0.13092975357145753,18
what does the name halima mean,0.0,1.0,1.0,0.0,21
meds that can cause irregular heartbeat,0.85,1.0,1.0,1.0,4
how much does a ballet dancer make,0.75,0.3562071871080222,0.3333333333333333,0.3562071871080222,2
highest enlisted marine female,0.9,0.5,0.43067655807339306,0.1989700043360188,2
cyrillic alphabet definition,0.1,1.0,1.0,0.36907024642854247,19
spousal roth ira contribution after age 70,0.0,1.0,1.0,0.0,21
typical retirement fers,0.95,1.0,1.0,0.6989700043360187,2
what does the name asia mean,0.05,0.6309297535714575,0.6309297535714575,0.2440769463369159,20
what cell type is responsible for producing current?,0.0,0.0,0.0,0.0,21
what causes excel file corruption,0.7,0.5,0.5,0.16666666666666669,7
infrax system,0.0,1.0,0.43067655807339306,0.5693234419266069,1
what is a virtual interface,0.0,1.0,0.6309297535714575,0.36907024642854247,10
what ethnicity is darren criss' mom?,0.75,1.0,1.0,1.0,6
how was the esperanza fire started,0.1,1.0,1.0,0.36907024642854247,19
what does whistling dixie mean,0.7,1.0,1.0,0.36907024642854247,7
how does a bump key work,1.0,0.43067655807339306,0.43067655807339306,0.14161173175550518,1
is gwen stefani italian,0.35,0.6309297535714575,0.6309297535714575,0.13092975357145753,14
what causes exhaust hanger to fail,0.2,1.0,1.0,0.5,17
what county is fine ny in,0.9,1.0,1.0,1.0,3
what can cause a metallic smell,0.65,0.6309297535714575,0.5,0.6309297535714575,3
what are garlic supplements good for,1.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,1
what county is lochbuie co in,1.0,0.6309297535714575,0.6309297535714575,0.2440769463369159,1
vde definition,0.35,1.0,1.0,0.6437928128919779,14
definition chemical,0.0,0.0,0.0,0.0,21
difference between hep b and c,0.0,0.6309297535714575,0.6309297535714575,0.0,21
what causes extreme swelling in just one leg?,0.0,0.0,0.0,0.0,21
what citation is used for outside sources,0.0,1.0,0.43067655807339306,0.5693234419266069,12
what are the drugs used for moderate sedation,0.4,0.3562071871080222,0.31546487678572877,0.3562071871080222,7
what is hardie plank,0.05,1.0,1.0,0.5,20
what does ISF mean fluid do,0.0,0.0,0.0,0.0,21
what is a affidavit of support,0.4,1.0,1.0,0.6666666666666667,13
syracuse minor league baseball,0.0,1.0,1.0,0.0,21
current fuel price in delhi,0.95,0.6309297535714575,0.5,0.2440769463369159,1
what causes eyelid itching and swelling,1.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
myers-briggs personality test what do the letters stand for,0.2,0.2890648263178879,0.2890648263178879,0.2890648263178879,17
what is a good home remedy for hemorrhoids,0.65,1.0,1.0,0.5693234419266069,8
what does the last name spratt mean,0.35,1.0,1.0,0.5,14
element al,0.45,1.0,1.0,0.6666666666666667,12
"what causes feelings of detachment from reality,",0.75,0.6309297535714575,0.6309297535714575,0.27472256646343535,6
concrete walkway cost per square foot,0.9,1.0,1.0,0.5693234419266069,3
armistead meaning,0.65,0.6309297535714575,0.6309297535714575,0.2975964202381242,8
ross cameron age,0.45,1.0,1.0,0.6131471927654584,12
reasons why nuclear power is bad,0.0,1.0,0.5,0.5,9
what does dealer invoice price mean,0.55,1.0,1.0,0.6989700043360187,10
use pi as wired vpn router,0.0,0.3010299956639812,0.0,0.3010299956639812,5
singular noun definition for kids,0.6,1.0,1.0,1.0,9
causes of back pain in female for a week,0.4,0.31546487678572877,0.0,0.31546487678572877,4
savannah georgia average yearly weather,0.65,1.0,1.0,0.5,8
temperature sorrento italy september,0.0,1.0,1.0,0.0,21
what county is exeter nh,0.2,1.0,1.0,0.36907024642854247,17
what is fms medical term,0.85,0.6309297535714575,0.6309297535714575,0.6309297535714575,4
what is boot screening?,0.6,1.0,1.0,1.0,9
is acre capitalized,0.75,0.5,0.3333333333333333,0.16666666666666669,1
smoking patches how long should you be on them,0.85,0.31546487678572877,0.31546487678572877,0.31546487678572877,4
what does it mean when the bottom of your foot is really hot,0.65,1.0,1.0,1.0,8
oliguric meaning,0.85,0.3562071871080222,0.3562071871080222,0.3562071871080222,4
average annual snowfall in jersey,0.05,0.6309297535714575,0.6309297535714575,0.13092975357145753,19
price for hardwood floor refinishing,0.3,0.31546487678572877,0.2890648263178879,0.31546487678572877,2
what is e. pluribus unum,0.25,1.0,1.0,0.5693234419266069,16
how much do club set bottles cost?,0.2,0.6309297535714575,0.38685280723454163,0.2440769463369159,6
what causes film creasing during folding process,0.45,0.5,0.5,0.06932344192660694,12
what is a lease?,0.65,1.0,1.0,1.0,8
meaning of a discrete concept,0.55,0.6309297535714575,0.6309297535714575,0.27472256646343535,10
va choice provider phone number,0.65,1.0,1.0,1.0,8
va choice provider phone number,0.5,0.6309297535714575,0.6309297535714575,0.27472256646343535,10
population nehalem or,0.15,1.0,0.6309297535714575,0.36907024642854247,15
how much is a pint of patron,0.7,1.0,1.0,0.36907024642854247,7
what is home systems protection insurance,0.0,1.0,1.0,0.0,21
what all is ferric gluconate used for,0.3,1.0,1.0,0.5693234419266069,15
causes of swollen ankles and feet,0.9,0.3333333333333333,0.3010299956639812,0.3333333333333333,1
causes of swollen ankles and feet,0.0,1.0,0.38685280723454163,0.6131471927654584,18
causes of swollen ankles and feet,0.0,0.0,0.0,0.0,21
is levaquin an antibiotic,0.0,1.0,0.5,0.5,14
what does the sphinx represent,0.4,1.0,0.6309297535714575,0.5,3
meaning of obtunded,0.3,0.38685280723454163,0.38685280723454163,0.030645620126519446,15
"what county is marlboro, nj",0.0,1.0,1.0,0.0,21
symptoms of tularemia in rabbits,0.9,0.43067655807339306,0.43067655807339306,0.43067655807339306,3
what is a health unit coordinator,0.3,1.0,1.0,0.36907024642854247,15
what causes flashes of light in your peripheral vision?,0.0,0.6309297535714575,0.5,0.13092975357145753,16
ibm filenet discovery,0.8,1.0,1.0,0.6437928128919779,5
how to abbreviate degrees fahrenheit,0.0,0.3010299956639812,0.0,0.3010299956639812,13
inherent legal definition,0.7,0.6309297535714575,0.6309297535714575,0.2440769463369159,7
carbs withdrawal signs and symptoms,0.45,0.6309297535714575,0.5,0.6309297535714575,7
is turmeric curcumin,0.15,1.0,0.6309297535714575,0.36907024642854247,14
is rosemary oil good for back pain?,0.0,0.6309297535714575,0.5,0.13092975357145753,18
what are setbacks in zoning,0.9,1.0,1.0,0.36907024642854247,3
what is a cleric,0.55,1.0,1.0,0.6437928128919779,10
what files do dvd players read,0.0,0.0,0.0,0.0,21
integrated dna technology,0.55,0.5,0.5,0.11314719276545837,10
what happens when waves hit a concave surface,0.0,0.0,0.0,0.0,21
does dehydration cause sleep harder,0.65,0.6309297535714575,0.5,0.6309297535714575,4
(Metformin what is it and what does it do?),0.7,0.6309297535714575,0.6309297535714575,0.6309297535714575,7
unconscious bias definition,0.85,0.6309297535714575,0.6309297535714575,0.6309297535714575,4
most expensive places in the world dublin,0.05,0.6309297535714575,0.6309297535714575,0.20025319549806447,20
what causes fluid in the ears?,0.0,0.5,0.3010299956639812,0.1989700043360188,10
what causes fluid in the ears?,0.3,1.0,1.0,0.6131471927654584,15
what causes fluid in the ears?,0.9,0.38685280723454163,0.38685280723454163,0.38685280723454163,3
what does the legal term demur mean?,0.5,0.6309297535714575,0.5,0.6309297535714575,4
what do architectural drawings show,0.6,0.3562071871080222,0.3562071871080222,0.0671423607901343,9
salt water aquarium salinity,0.4,1.0,1.0,0.5693234419266069,13
what does lactose do,0.95,0.38685280723454163,0.38685280723454163,0.38685280723454163,2
prices for massages,0.15,0.2890648263178879,0.0,0.2890648263178879,2
prices for massages,1.0,0.5,0.5,0.5,1
how many species go extinct in an average day,0.95,1.0,1.0,1.0,2
how many species go extinct in an average day,0.0,1.0,0.5,0.5,19
what is an alias name,0.6,0.6309297535714575,0.43067655807339306,0.31546487678572877,2
"what county is lawton, ok",0.4,1.0,1.0,0.36907024642854247,13
pluvious definition,0.0,1.0,1.0,0.0,21
medicare prior authorization number for florida,0.95,0.6309297535714575,0.6309297535714575,0.6309297535714575,2
does restrictive lung disease cause sleep apnea,0.0,1.0,1.0,0.0,21
how common is the name andrew?,1.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,1
what is human trafficking,0.2,1.0,0.3562071871080222,0.6437928128919779,8
how much is does it cost to insure a house,0.6,1.0,1.0,1.0,9
what do you need to be certified in medical coding,0.0,0.43067655807339306,0.3562071871080222,0.07446937096537087,17
irs continuing education requirements,0.7,1.0,1.0,0.36907024642854247,7
irs continuing education requirements,0.0,1.0,0.6309297535714575,0.36907024642854247,14
smart procurement definition,0.0,1.0,0.38685280723454163,0.6131471927654584,19
to_date function,0.0,0.6309297535714575,0.43067655807339306,0.20025319549806447,1
what degree  is ideal flag mount,0.0,1.0,0.6309297535714575,0.36907024642854247,20
amnesty define,0.0,1.0,0.38685280723454163,0.6131471927654584,15
talk stoop cat what happened to bulldog gracie,0.0,1.0,1.0,0.0,21
how much does a teaching assistant earn,0.85,1.0,1.0,0.5,4
how much is Welding school,0.0,1.0,1.0,0.0,21
time hawaii,0.0,1.0,1.0,0.0,21
how to become a class b cdl driver,1.0,1.0,1.0,1.0,1
what includes in nursing general survey,0.0,1.0,0.5,0.5,12
what includes in nursing general survey,0.0,0.6309297535714575,0.43067655807339306,0.20025319549806447,9
what did the nuremberg trials do explanation,0.8,0.43067655807339306,0.43067655807339306,0.11521168128766429,5
what are mangroves,0.9,0.5,0.5,0.5,3
what is an open system server,0.0,1.0,1.0,0.0,21
how much do pediatric nurse practioners make a year,0.5,1.0,0.6309297535714575,0.5693234419266069,9
meaning of material requisition,0.8,1.0,1.0,0.5,5
what is a prostate rub,0.55,0.5,0.5,0.5,10
population brigham city utah,0.35,1.0,1.0,0.5693234419266069,14
price clips,0.0,1.0,1.0,0.0,21
team uniform color schemes,0.0,0.6309297535714575,0.6309297535714575,0.0,21
what causes gall bladder infection,0.2,0.43067655807339306,0.0,0.43067655807339306,13
what causes gall bladder infection,0.0,1.0,1.0,0.0,21
volcano hawaii stats,0.0,1.0,0.3333333333333333,0.6666666666666667,6
does vinegar help poison ivy,0.55,1.0,1.0,0.5,10
is the pill nabumetone a narcotic,0.4,0.6309297535714575,0.6309297535714575,0.6309297535714575,12
symptoms of strep throat for an adult,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,11
if i contribute to a roth ira is it taxable,0.4,1.0,1.0,1.0,13
what are voles?,0.85,1.0,1.0,1.0,4
how many people died at the battle of gettysburg,0.75,0.5,0.3562071871080222,0.14379281289197782,2
what causes hair to break,0.0,1.0,0.3333333333333333,0.6666666666666667,12
what causes hair to break,0.35,0.38685280723454163,0.38685280723454163,0.053519473901208314,11
what causes hair to break,0.9,0.3010299956639812,0.3010299956639812,0.3010299956639812,3
what causes gall bladder infections?,1.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,1
meaning of a navigate,0.2,0.6309297535714575,0.6309297535714575,0.27472256646343535,15
what does a spider bute sore look like,0.0,0.0,0.0,0.0,21
is china bigger than the united states,0.1,1.0,1.0,0.36907024642854247,19
what are trap cards,0.2,0.5,0.38685280723454163,0.11314719276545837,14
what degree sunburn causes blisters,0.0,1.0,1.0,0.0,21
average age of nhl teams,1.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,1
what are the symptoms of a bad O2 sensor,0.0,1.0,1.0,0.0,21
what are the three major groups of protists,0.6,0.43067655807339306,0.43067655807339306,0.43067655807339306,9
how much does it cost to replace a foundation of a house?,0.9,0.5,0.5,0.5,3
what is glycohemoglobin,0.6,0.38685280723454163,0.3562071871080222,0.08582281157056043,7
stalactites definition,0.85,1.0,1.0,0.5693234419266069,4
stalactites definition,1.0,0.3562071871080222,0.3562071871080222,0.3562071871080222,1
redemption cast,0.6,0.43067655807339306,0.3333333333333333,0.11521168128766429,4
what is adh,0.85,1.0,1.0,0.5693234419266069,4
defense base act chubb,0.75,0.6309297535714575,0.6309297535714575,0.2440769463369159,6
what are hereditary traits,0.0,1.0,1.0,0.0,21
how to freeze fresh beet greens,0.0,0.6309297535714575,0.0,0.6309297535714575,5
what are the symptoms of scabies,0.0,1.0,0.6309297535714575,0.36907024642854247,16
what causes gout in ankles?,0.3,1.0,1.0,0.5693234419266069,15
the definition of the word civilization,1.0,0.5,0.5,0.5,1
is mystique a hero or villain,0.55,0.6309297535714575,0.6309297535714575,0.6309297535714575,10
how many of methane is released by cows,0.0,1.0,1.0,0.0,21
what is buprenorphine taken for?,1.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,1
derivation of roe name,0.9,0.6309297535714575,0.6309297535714575,0.32989975790747633,3
kahley meaning,0.4,1.0,1.0,0.5,13
what instrument is used to measure humidity,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
what does the name rin mean,0.2,1.0,0.5,0.5,2
what is fascial stretch therapy,0.7,1.0,1.0,0.6666666666666667,7
how many days are in a school year in texas,0.1,1.0,1.0,0.36907024642854247,19
lasagna meaning,0.0,0.0,0.0,0.0,21
weather in santorini in august,0.75,0.5,0.43067655807339306,0.11314719276545837,5
weather in santorini in august,0.25,1.0,1.0,0.36907024642854247,16
what is eden lake,0.8,1.0,1.0,0.5,5
what causes rust on iron,0.25,0.5,0.0,0.5,1
what is a receptionist,0.45,1.0,1.0,1.0,12
are poppies grown from seed or bulb,0.0,1.0,1.0,0.0,21
what city is sjo in costa rica,0.05,0.6309297535714575,0.5,0.13092975357145753,16
what is abstract noun for rich,0.05,1.0,1.0,0.36907024642854247,20
what does tax mean,0.55,0.6309297535714575,0.6309297535714575,0.6309297535714575,10
what is inhibitors,0.95,0.3333333333333333,0.3333333333333333,0.3333333333333333,2
anthracite highest,0.0,0.6309297535714575,0.38685280723454163,0.2440769463369159,5
on what date is the solar eclipse this year,0.95,0.3010299956639812,0.3010299956639812,0.3010299956639812,2
miana name meaning,0.0,0.5,0.5,0.0,21
"movie , how he invented things",0.95,0.3562071871080222,0.3562071871080222,0.3562071871080222,2
stat means,0.35,0.38685280723454163,0.38685280723454163,0.38685280723454163,14
what foods to avoid if you have burning mouth syndrome,0.55,0.38685280723454163,0.3562071871080222,0.053519473901208314,8
what foods to avoid if you have burning mouth syndrome,0.75,1.0,1.0,0.6989700043360187,6
how long can i stay in cambodia,0.1,1.0,1.0,0.6131471927654584,19
what is a butterfly needle,0.5,1.0,1.0,0.6666666666666667,11
what are three branches of government,0.0,1.0,0.43067655807339306,0.5693234419266069,15
most quoted writer in english language,0.0,0.6309297535714575,0.6309297535714575,0.0,21
what causes headache at back of head and behind eyes,0.0,0.0,0.0,0.0,21
what do rabbits eat in the wild,0.15,0.6309297535714575,0.6309297535714575,0.13092975357145753,17
definition of the word conjure,0.8,1.0,0.6309297535714575,0.6131471927654584,3
is windows defender good enough,0.0,0.0,0.0,0.0,21
what is a mood disorder,0.4,1.0,0.43067655807339306,0.6131471927654584,3
adjustable mortgage loans definition,0.15,1.0,0.43067655807339306,0.5693234419266069,9
adjustable mortgage loans definition,0.6,1.0,0.6309297535714575,0.6845351232142712,7
is sclera a layer of the eye,0.0,0.5,0.5,0.0,21
8 days after conception symptoms,0.6,1.0,1.0,0.6131471927654584,9
what causes heterochromia eyes and,0.0,1.0,0.5,0.5,11
what cause chest pains,0.45,0.5,0.2890648263178879,0.5,5
meaning of name merin,0.9,1.0,1.0,0.5693234419266069,3
"what county is macungie, pa in",0.0,1.0,1.0,0.0,21
what is epidemiology pdf,0.3,0.43067655807339306,0.38685280723454163,0.43067655807339306,7
how many leadership characteristics,0.0,0.0,0.0,0.0,21
what do scientists classify as a air masses according to,0.0,1.0,1.0,0.0,21
inorganic nutrients definition,0.4,1.0,1.0,0.7109351736821121,13
what is a financier dessert,0.45,1.0,1.0,1.0,12
can threadworms cause appendicitis,0.0,1.0,1.0,0.0,21
foods to avoid in gallbladder disease,0.0,0.5,0.0,0.5,6
foods to avoid in gallbladder disease,0.9,0.31546487678572877,0.31546487678572877,0.31546487678572877,3
foods to avoid in gallbladder disease,1.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,1
what is a mastic,0.45,1.0,0.5,0.6989700043360187,9
what causes white tongue coating,0.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,4
masseter definition,0.7,0.6309297535714575,0.6309297535714575,0.2440769463369159,7
gas octane ratings,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
what duration should you change your refrigerator water filter,0.0,0.3562071871080222,0.3562071871080222,0.022873853774688868,12
industry day navy,0.25,1.0,0.5,0.5,10
what causes hives and itching,0.95,0.43067655807339306,0.43067655807339306,0.43067655807339306,2
meaning of samoset,0.35,1.0,1.0,0.36907024642854247,14
alcohol disinfect,0.0,0.6309297535714575,0.43067655807339306,0.20025319549806447,13
what are some of the main causes of deforestation in amazon rainforest,0.25,1.0,1.0,0.36907024642854247,16
promulgates definition,0.45,1.0,1.0,0.6845351232142712,12
what is a vulnerability scanner,0.0,0.5,0.43067655807339306,0.06932344192660694,19
what generation is keflex,0.0,1.0,0.5,0.5,18
is waiver of subrogation on gl or property,0.35,0.6309297535714575,0.5,0.20025319549806447,13
how long does it take epoxy floor to cure,0.5,1.0,0.5,0.5,1
waterloo war,0.85,0.6309297535714575,0.6309297535714575,0.32989975790747633,4
liters measures what,0.0,0.5,0.3333333333333333,0.16666666666666669,12
temperature of meatloaf when it's done,0.6,0.6309297535714575,0.6309297535714575,0.13092975357145753,9
what date is jefferson tx mardi gras,0.5,0.43067655807339306,0.38685280723454163,0.04382375083885143,4
how much does a brachioplasty cost,0.3,1.0,1.0,1.0,15
soleil meaning,0.2,1.0,0.43067655807339306,0.5693234419266069,10
NAD / NADH definition,0.45,0.38685280723454163,0.3333333333333333,0.38685280723454163,2
what county is nyc,0.5,1.0,1.0,1.0,11
normal body temperature range for toddlers,1.0,1.0,1.0,1.0,1
what does interossei mean,0.4,0.38685280723454163,0.31546487678572877,0.08582281157056043,4
what is flight time from newark to heathrow,0.75,0.6309297535714575,0.6309297535714575,0.31546487678572877,6
what is dyeing,0.5,1.0,0.5,0.6131471927654584,6
is intellectual property tangible,0.0,1.0,0.6309297535714575,0.36907024642854247,1
what causes you aortic artery to get plaque build up,0.0,0.0,0.0,0.0,21
what causes stinging pain,0.0,1.0,1.0,0.0,21
what is a good profit margin ratio,0.55,0.38685280723454163,0.3562071871080222,0.030645620126519446,9
can not enough sleep make adhd,0.0,1.0,1.0,0.0,21
what is a gdb file gis,0.7,0.43067655807339306,0.43067655807339306,0.43067655807339306,7
definition of the calculus,0.9,0.5,0.43067655807339306,0.5,1
what does col mean for a source document,0.3,1.0,0.6309297535714575,0.5693234419266069,12
what are they building by wow factory,0.0,1.0,1.0,0.0,21
what county is scottsboro alabama,0.35,0.6309297535714575,0.6309297535714575,0.13092975357145753,14
is the endoplasmic reticulum eukaryotic or prokaryotic,0.25,1.0,0.5,0.5,2
what is a bismarck donut,0.0,1.0,1.0,0.0,21
how did the tet offensive damage american morale?,0.0,0.0,0.0,0.0,21
what conference is the u of connecticut in,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,5
elements that exist as molecule,0.35,0.38685280723454163,0.0,0.38685280723454163,1
how do otters mate?,0.0,1.0,1.0,0.0,21
what is abwehr,0.15,0.5,0.5,0.06932344192660694,18
what is blains,0.5,1.0,1.0,0.6666666666666667,11
shed tear meaning,0.7,1.0,1.0,0.36907024642854247,7
what is a boiler room scam,0.1,0.31546487678572877,0.31546487678572877,0.014434881121747567,19
what is formica,0.4,1.0,0.6309297535714575,0.36907024642854247,6
mood definition literature,0.0,1.0,0.6309297535714575,0.36907024642854247,17
what causes ice to be blue,0.15,1.0,0.6309297535714575,0.36907024642854247,1
what does it mean when your ear is popping,0.5,0.43067655807339306,0.43067655807339306,0.43067655807339306,3
what is a galena,0.65,0.38685280723454163,0.38685280723454163,0.38685280723454163,5
what does nemorosa mean,0.4,0.6309297535714575,0.43067655807339306,0.6309297535714575,9
what is hecate,0.0,0.38685280723454163,0.3333333333333333,0.053519473901208314,13
how much would it cost to order things from lush uk to usa,0.0,0.0,0.0,0.0,21
meijer pharmacy hours of operation,0.85,0.5,0.5,0.14379281289197782,4
what is an allele?,0.4,1.0,1.0,1.0,13
what foods sare complex carbohydrates,0.85,1.0,1.0,1.0,4
population of searcy arkansas,0.5,1.0,1.0,0.6131471927654584,11
what causes squeaky sound when you turn this steering wheel with all the way?,0.6,0.43067655807339306,0.31546487678572877,0.11521168128766429,4
does diclofenac need prescription,0.0,0.5,0.3333333333333333,0.16666666666666669,7
lucentis injections cost,0.5,0.6309297535714575,0.5,0.20025319549806447,9
what is a platysma,0.0,0.6309297535714575,0.38685280723454163,0.27472256646343535,13
phone number for verizon wireless bill pay,0.25,1.0,1.0,0.5,16
what causes inflammation arthritis,0.55,0.6309297535714575,0.6309297535714575,0.6309297535714575,10
bobbles meaning,0.0,0.6309297535714575,0.38685280723454163,0.2440769463369159,17
how to use nicotine patches to quit smoking,0.4,0.31546487678572877,0.0,0.31546487678572877,1
westcave preserve,0.4,1.0,1.0,0.6131471927654584,13
social security benefits working before full retirement age,0.6,0.5,0.3562071871080222,0.5,2
alessandro manfredini how old is he,0.0,0.6309297535714575,0.5,0.20025319549806447,5
is radon gas a hoax,0.0,1.0,0.3333333333333333,0.6666666666666667,12
most dangerous sharks,0.75,0.38685280723454163,0.38685280723454163,0.07138793044881286,6
most dangerous sharks,0.0,1.0,0.5,0.5,17
what is health benefits of coconut water,1.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,1
what causes inflammation in foot,0.45,0.6309297535714575,0.6309297535714575,0.13092975357145753,12
define and example of a grant-in-aid,0.9,1.0,1.0,1.0,3
what is half life,1.0,0.3562071871080222,0.3562071871080222,0.3562071871080222,1
laggard meaning,0.9,1.0,1.0,0.6989700043360187,3
mastoid infection symptoms,0.45,1.0,0.6309297535714575,0.6666666666666667,4
polar customer service phone number,1.0,1.0,1.0,1.0,1
define fable in literature,0.0,0.5,0.38685280723454163,0.11314719276545837,13
is ilovemakonnen ovo,0.0,1.0,1.0,0.0,21
is ilovemakonnen ovo,0.0,0.5,0.43067655807339306,0.06932344192660694,14
t rowe price contact phone number,0.65,0.6309297535714575,0.6309297535714575,0.20025319549806447,8
what causes itching dry skin,0.3,1.0,0.5,0.5,6
what causes itching dry skin,0.0,1.0,0.0,1.0,3
towing weight definition,0.0,1.0,1.0,0.0,21
age limit to drive for haul,0.65,1.0,1.0,0.5,8
what elevates glucose,0.8,0.6309297535714575,0.6309297535714575,0.6309297535714575,5
"what county is bethlehem, pa",0.0,1.0,0.6309297535714575,0.36907024642854247,20
what causes lower back pain and cramping,0.85,0.43067655807339306,0.43067655807339306,0.43067655807339306,4
what causes lower back pain and cramping,0.0,0.0,0.0,0.0,21
cancers that cause death,0.4,0.38685280723454163,0.0,0.38685280723454163,4
cancers that cause death,0.9,0.2890648263178879,0.0,0.2890648263178879,1
cancers that cause death,0.0,0.0,0.0,0.0,21
what is cism team,0.5,1.0,1.0,0.5,11
what causes itching during exercise,0.0,0.6309297535714575,0.6309297535714575,0.0,21
what did a sculpture do in ancient india,0.8,1.0,1.0,0.5693234419266069,5
is a crabapple tree deciduous,0.4,0.6309297535714575,0.6309297535714575,0.20025319549806447,9
what county is thermal california in,0.95,1.0,1.0,0.36907024642854247,2
what county is thermal california in,0.0,0.5,0.5,0.0,21
what do heterotopias appear on imaging,0.0,0.5,0.2890648263178879,0.21093517368211212,3
what are the two vertical muscles behind the knee,0.65,0.6309297535714575,0.38685280723454163,0.2440769463369159,5
what does the term presidential democracy mean?,0.0,0.0,0.0,0.0,21
what causes itching from a yeast infection,1.0,0.31546487678572877,0.31546487678572877,0.31546487678572877,1
