query,MRR,Recall@1
who sang the disco song Take me to a higher place,0.3333333333333333,0.0
titular meaning,0.0,0.0
how do property managers charge,0.25,0.0
what is the meaning of demetri,1.0,1.0
causes of melanosis coli,0.3333333333333333,0.0
what do tension headache feel like,0.5,0.0
what is a long ton,0.3333333333333333,0.0
what is clove spice,0.0,0.0
how to tell if crab legs are precooked,0.5,0.0
how to do marketing a product,0.2,0.0
what is scalp dermatitis,1.0,1.0
what is a moonroof,0.25,0.0
how long can a chicken leave her eggs,1.0,0.3333333333333333
kratom definition,0.25,0.0
who is jyotiba phule,1.0,1.0
cost to demolish a house,0.3333333333333333,0.0
average decor cost for wedding,0.2,0.0
how long does it take to get your refund once they send it electronically,0.3333333333333333,0.0
are sponges fungi,1.0,0.5
average digital pulse rate of horse,0.5,0.0
what is responsible for peristaltic waves,0.3333333333333333,0.0
what type of consumers are spiders,0.25,0.0
average cost to have someone build a website,0.5,0.0
gir to diu distances,1.0,1.0
average time for a cold sore to go away,0.5,0.0
when did alcohol become illegal,0.0,0.0
jc watts net worth,1.0,1.0
average cost for residential construction is square foot,0.2,0.0
what kind of diseases can cats get,1.0,1.0
what does zamboni do,0.0,0.0
what is Lexico syntactic errors?,0.0,0.0
why does ceramic absorb heat,1.0,1.0
cost for concrete,0.3333333333333333,0.0
what does the name laurie mean,0.5,0.0
When was the EURO formed,1.0,1.0
what is salmeterol,0.0,0.0
why did ancient rome build aqueducts,0.5,0.0
annual salary definition,0.2,0.0
when was herr steinbeck born,0.25,0.0
interquartile range means,0.3333333333333333,0.0
what is the origin of the word chester,1.0,0.5
process of clotting blood,0.2,0.0
what age is a child to be considered a dependent for tax purposes,1.0,1.0
how long to keep financial records irs,0.0,0.0
when should i not inject my lantus,0.5,0.0
what color is healthy urine,0.5,0.0
what are dew claws,0.3333333333333333,0.0
why is enzyme amylase affected by ph,0.0,0.0
antipsychotic medication side effects,1.0,1.0
cost to change name on passport,0.5,0.0
what is vanilla,0.3333333333333333,0.0
what is outlook.com used for,0.5,0.0
ethics medical definition,0.3333333333333333,0.0
do vitamins produce energy aerobically,0.25,0.0
procedural committee definition,0.25,0.0
what does professional conduct mean,1.0,1.0
how long does it take for a female dog to heal after spaying,1.0,1.0
what is 4th nerve palsy,1.0,1.0
where does translation of rna into proteins occur,1.0,1.0
average cost per square meter to build a garage,1.0,1.0
what kind of legs do sea turtles have,0.2,0.0
how long will food keep in the upright freezer without power,0.0,0.0
el senor de los cielos cast,1.0,1.0
does data roaming cost extra,1.0,1.0
cost to replace basement windows,1.0,1.0
what does protein and urobilinogen mean in urine,1.0,0.5
segments of dna that carry hereditary instructions are called,0.0,0.0
what colors does bougainvillea come in,1.0,1.0
“neo-traditional” definition,0.3333333333333333,0.0
what texture does hardened lava give,0.3333333333333333,0.0
average price for new construction per square foot,0.25,0.0
how do you use an area rug non slip with a rug pad,0.25,0.0
salary for mechanical engineer in india,1.0,1.0
what are healing stones used for,1.0,1.0
what element is in solder,0.0,0.0
what is bidirectional SFP,0.3333333333333333,0.0
what laws or acts did jfk pass,0.5,0.0
what is gamification in marketing,1.0,1.0
Synonyms for the Word Hungry,0.25,0.0
define express included contract terms,1.0,0.5
what are corals made of,0.25,0.0
should drivers be required to take a driving test after a certain age?,1.0,1.0
what is xanthine pills,1.0,1.0
average cost of rocket into space,0.5,0.0
what is a structural adaptation,0.5,0.0
mailing address for wyntree hoa,1.0,1.0
average cost of dog teeth cleaning,0.2,0.0
what is plexus,1.0,1.0
Where is the river Danube and where is its source and length,0.2,0.0
how much does a wedding blessing cost,0.5,0.0
how to bake a beef tenderloin,0.2,0.0
What is the name of food that the plants cells make,0.2,0.0
csu cost of attendance,1.0,1.0
what if the camera had been invented earlier,0.0,0.0
how much does pacemaker surgery cost,1.0,1.0
where did the civil rights act take place,0.0,0.0
how long does dental implant process take,0.3333333333333333,0.0
what arthritis is,0.0,0.0
oldest president to be elected,0.2,0.0
what is roast beef made of,0.3333333333333333,0.0
what does a mortgage pre approval mean,1.0,1.0
alternative names for vitamin a,0.5,0.0
what is detachment,0.5,0.0
what is the theme of prometheus,1.0,1.0
what causes lung disease,1.0,0.3333333333333333
refraction definition sound,1.0,1.0
what does stimming mean,0.0,0.0
where is stephanie powers now,1.0,1.0
is sunshine minting reputable,0.5,0.0
how long does a respiratory infection last,0.2,0.0
