Query,Dataset,Failure Type,Doc in Top-5
what is causing school segregation,ms_marco,Semantic Miss,0
What is the major structural difference between starch and glycogen?,ms_marco,Ranking Error,1
what is an acronym,ms_marco,Ranking Error,1
what is the prostate gland and what does it do,ms_marco,Lexical Miss,0
average temperature for el centro cal,ms_marco,Ranking Error,1
what unit of wavelength is a de broglie,ms_marco,Semantic Miss,0
what is a unicorn,ms_marco,Ranking Error,1
how is genetic disorder inherited,ms_marco,Ranking Error,1
what does criterion mean,ms_marco,Ranking Error,1
difference between return and risk,ms_marco,Ranking Error,1
what does franchise fee mean,ms_marco,Ranking Error,1
what is a polygenic trait,ms_marco,Ranking Error,1
which kingdom contain all unicellular organisms,ms_marco,Semantic Miss,0
where do common spider crabs live,ms_marco,Lexical Miss,0
how much it costs to make game of thrones,ms_marco,Ranking Error,1
what is the origin of the family name falcon,ms_marco,Semantic Miss,0
what is difference between plan and program,ms_marco,Ranking Error,1
The structural explanation of how a muscle fiber contracts is called the,ms_marco,Ranking Error,1
what is pork loin,ms_marco,Ranking Error,1
average temperature hanoi,ms_marco,Ranking Error,1
how to oven roast brussel sprouts,ms_marco,Ranking Error,1
where can the arctic tundra be found,ms_marco,Ranking Error,1
what are gaba receptors for,ms_marco,Ranking Error,1
who sang the disco song Take me to a higher place,ms_marco,Ranking Error,1
titular meaning,ms_marco,Semantic Miss,0
how do property managers charge,ms_marco,Ranking Error,1
causes of melanosis coli,ms_marco,Ranking Error,1
what do tension headache feel like,ms_marco,Ranking Error,1
what is a long ton,ms_marco,Ranking Error,1
what is clove spice,ms_marco,Semantic Miss,0
how to tell if crab legs are precooked,ms_marco,Ranking Error,1
how to do marketing a product,ms_marco,Ranking Error,1
what is a moonroof,ms_marco,Ranking Error,1
kratom definition,ms_marco,Ranking Error,1
cost to demolish a house,ms_marco,Ranking Error,1
average decor cost for wedding,ms_marco,Ranking Error,1
how long does it take to get your refund once they send it electronically,ms_marco,Ranking Error,1
what is responsible for peristaltic waves,ms_marco,Ranking Error,1
what type of consumers are spiders,ms_marco,Ranking Error,1
average cost to have someone build a website,ms_marco,Ranking Error,1
average time for a cold sore to go away,ms_marco,Ranking Error,1
when did alcohol become illegal,ms_marco,Lexical Miss,0
average cost for residential construction is square foot,ms_marco,Lexical Miss,0
what kind of diseases can cats get,ms_marco,Ranking Error,1
what does zamboni do,ms_marco,Semantic Miss,0
what is Lexico syntactic errors?,ms_marco,Semantic Miss,0
cost for concrete,ms_marco,Ranking Error,1
what does the name laurie mean,ms_marco,Ranking Error,1
what is salmeterol,ms_marco,Semantic Miss,0
annual salary definition,ms_marco,Ranking Error,1
when was herr steinbeck born,ms_marco,Lexical Miss,0
interquartile range means,ms_marco,Ranking Error,1
process of clotting blood,ms_marco,Ranking Error,1
how long to keep financial records irs,ms_marco,Lexical Miss,0
when should i not inject my lantus,ms_marco,Ranking Error,1
what color is healthy urine,ms_marco,Ranking Error,1
why is enzyme amylase affected by ph,ms_marco,Semantic Miss,0
cost to change name on passport,ms_marco,Ranking Error,1
what is vanilla,ms_marco,Ranking Error,1
what is outlook.com used for,ms_marco,Ranking Error,1
ethics medical definition,ms_marco,Ranking Error,1
do vitamins produce energy aerobically,ms_marco,Ranking Error,1
procedural committee definition,ms_marco,Ranking Error,1
what does professional conduct mean,ms_marco,Ranking Error,1
what kind of legs do sea turtles have,ms_marco,Ranking Error,1
how long will food keep in the upright freezer without power,ms_marco,Semantic Miss,0
segments of dna that carry hereditary instructions are called,ms_marco,Lexical Miss,0
“neo-traditional” definition,ms_marco,Ranking Error,1
what texture does hardened lava give,ms_marco,Lexical Miss,0
average price for new construction per square foot,ms_marco,Ranking Error,1
how do you use an area rug non slip with a rug pad,ms_marco,Ranking Error,1
salary for mechanical engineer in india,ms_marco,Ranking Error,1
what element is in solder,ms_marco,Semantic Miss,0
what is bidirectional SFP,ms_marco,Ranking Error,1
what laws or acts did jfk pass,ms_marco,Ranking Error,1
Synonyms for the Word Hungry,ms_marco,Ranking Error,1
what are corals made of,ms_marco,Ranking Error,1
average cost of rocket into space,ms_marco,Ranking Error,1
what is a structural adaptation,ms_marco,Ranking Error,1
average cost of dog teeth cleaning,ms_marco,Ranking Error,1
Where is the river Danube and where is its source and length,ms_marco,Ranking Error,1
how much does a wedding blessing cost,ms_marco,Ranking Error,1
how to bake a beef tenderloin,ms_marco,Ranking Error,1
What is the name of food that the plants cells make,ms_marco,Ranking Error,1
what if the camera had been invented earlier,ms_marco,Ranking Error,1
where did the civil rights act take place,ms_marco,Lexical Miss,0
how long does dental implant process take,ms_marco,Ranking Error,1
what arthritis is,ms_marco,Semantic Miss,0
oldest president to be elected,ms_marco,Ranking Error,1
what is roast beef made of,ms_marco,Ranking Error,1
alternative names for vitamin a,ms_marco,Ranking Error,1
what is detachment,ms_marco,Ranking Error,1
refraction definition sound,ms_marco,Ranking Error,1
what does stimming mean,ms_marco,Semantic Miss,0
is sunshine minting reputable,ms_marco,Ranking Error,1
how long does a respiratory infection last,ms_marco,Ranking Error,1
what is the metabolism in plants,ms_marco,Semantic Miss,0
why do we have different time zones,ms_marco,Semantic Miss,0
one watt is equal to how many volt-amps,ms_marco,Ranking Error,1
massachusetts income tax filing address,ms_marco,Ranking Error,1
what does astaxanthin do for skin,ms_marco,Ranking Error,1
is diclofenac good for muscle pain,ms_marco,Semantic Miss,0
how much does it typically cost to remove a tree,ms_marco,Semantic Miss,0
what is sharp name,ms_marco,Ranking Error,1
salary costs to employer,ms_marco,Semantic Miss,0
what is swarovski elements,ms_marco,Ranking Error,1
IRS form definition of dependent,ms_marco,Ranking Error,1
define rigged,ms_marco,Ranking Error,1
what are american kestrel adaptations,ms_marco,Semantic Miss,0
what does ctfu mean in slang,ms_marco,Ranking Error,1
what means irie,ms_marco,Ranking Error,1
what is lcy airport,ms_marco,Ranking Error,1
how much salary in USA for GM of a restaurant?,ms_marco,Semantic Miss,0
salary ranges for nurses,ms_marco,Ranking Error,1
how to cut down a sim card,ms_marco,Ranking Error,1
where is cleethorpes,ms_marco,Ranking Error,1
what states do grizzly bears live in,ms_marco,Semantic Miss,0
what is bov,ms_marco,Ranking Error,1
what is old lyme,ms_marco,Ranking Error,1
what do organ systems that work together form,ms_marco,Ranking Error,1
what are steamers used for,ms_marco,Ranking Error,1
gpa requirements for baylor,ms_marco,Ranking Error,1
openreach customer service number,ms_marco,Ranking Error,1
average length of newborn,ms_marco,Ranking Error,1
cost of prp for hair loss,ms_marco,Ranking Error,1
how long does broken wrist take to heal,ms_marco,Ranking Error,1
how many members of congress are there,ms_marco,Ranking Error,1
how long does it take for a scab mark to disappear,ms_marco,Semantic Miss,0
turnover definition biology,ms_marco,Ranking Error,1
cost to remove wisdom teeth without insurance,ms_marco,Ranking Error,1
what is rhizome,ms_marco,Semantic Miss,0
what is chinese sausage,ms_marco,Ranking Error,1
what characteristics of dna creates the genetic code,ms_marco,Lexical Miss,0
what temperature should an apple pie bake,ms_marco,Lexical Miss,0
what are green peas good for,ms_marco,Ranking Error,1
how to repair your nails after gel nails,ms_marco,Ranking Error,1
where is the liver in a human located,ms_marco,Ranking Error,1
which kind of gland secretes hormones directly into an epithelial membrane,ms_marco,Ranking Error,1
how far is kangaroo island from adelaide,ms_marco,Ranking Error,1
sign and symptoms of pneumonia caused by bacillus subtilis,ms_marco,Ranking Error,1
what is curcumin good for,ms_marco,Ranking Error,1
who was ambrose bierce,ms_marco,Ranking Error,1
why is catfishing a problem,ms_marco,Ranking Error,1
what are the types of symbiosis,ms_marco,Semantic Miss,0
what is the difference between lpn and rn,ms_marco,Ranking Error,1
personal service provider definition,ms_marco,Ranking Error,1
what is the meaning of apunto,ms_marco,Ranking Error,1
what is chinese medicine,ms_marco,Ranking Error,1
Plattekloof Natural Heritage Site what is biome,ms_marco,Semantic Miss,0
what is dolomitic lime used for,ms_marco,Ranking Error,1
determines meaning,ms_marco,Ranking Error,1
what is myopathy,ms_marco,Ranking Error,1
burn definition,ms_marco,Ranking Error,1
how much it cost for veneers and a bite change,ms_marco,Semantic Miss,0
how fast do camellias grow,ms_marco,Ranking Error,1
most carbon monoxide is produced by,ms_marco,Lexical Miss,0
how much does a carpenter earn,ms_marco,Ranking Error,1
definition iambic pentameter,ms_marco,Semantic Miss,0
how long do hamsters live,ms_marco,Ranking Error,1
what is linked insurance policy,ms_marco,Ranking Error,1
biblical meaning of name tyson,ms_marco,Ranking Error,1
what does hashem mean in arabic,ms_marco,Ranking Error,1
does the charging handle move when firing,ms_marco,Ranking Error,1
what is tempura shrimp,ms_marco,Ranking Error,1
iq score definition,ms_marco,Semantic Miss,0
what type of habitat do elephants live in,ms_marco,Ranking Error,1
when did the pharmd program start,ms_marco,Ranking Error,1
what did congress do to organize the northwest territory,ms_marco,Ranking Error,1
average private school tuition,ms_marco,Ranking Error,1
what were the economic conditions that lead to the great depression,ms_marco,Semantic Miss,0
average price for a tooth implant,ms_marco,Ranking Error,1
how long does it take to get a background check,ms_marco,Lexical Miss,0
how much pay for supply chain managers make,ms_marco,Ranking Error,1
average cost to tile a shower,ms_marco,Ranking Error,1
where in the brain are eye movements controlled,ms_marco,Ranking Error,1
what is chora dal,ms_marco,Ranking Error,1
what was the concept of manifest destiny,ms_marco,Semantic Miss,0
what is congenital hypercoagulability,ms_marco,Ranking Error,1
the cause of bipolar disorder,ms_marco,Ranking Error,1
cost of a electrician,ms_marco,Ranking Error,1
what is mediator software,ms_marco,Ranking Error,1
ideal clone temp,ms_marco,Ranking Error,1
where is your appendix located on a male,ms_marco,Ranking Error,1
is the new york observer liberal or conservative,ms_marco,Semantic Miss,0
how long before you get revenue back,ms_marco,Semantic Miss,0
what nationality is dilma rousseff,ms_marco,Ranking Error,1
why chartered accountant is important,ms_marco,Ranking Error,1
what are the vessels that carry blood to the heart,ms_marco,Ranking Error,1
president elect elect,ms_marco,Ranking Error,1
how long to hard boil small eggs,ms_marco,Lexical Miss,0
are capillaries all throughout the body,ms_marco,Ranking Error,1
dart rate explanation,ms_marco,Semantic Miss,0
dental cap cost,ms_marco,Ranking Error,1
elhanan name meaning,ms_marco,Ranking Error,1
what is made at the lhc,ms_marco,Ranking Error,1
what vitamins are in fresh pineapple,ms_marco,Ranking Error,1
how long does it take to fertilize an egg chicken,ms_marco,Semantic Miss,0
annual temperature in poland,ms_marco,Ranking Error,1
what is cmt,ms_marco,Semantic Miss,0
cost of implant tooth,ms_marco,Semantic Miss,0
can you cable a mimosa tree,ms_marco,Ranking Error,1
what is marrow edema,ms_marco,Ranking Error,1
why are mineral oils used,ms_marco,Ranking Error,1
what is the maximum amount of credit from residential energy credit,ms_marco,Ranking Error,1
what kind of bank is usaa,ms_marco,Ranking Error,1
what is spumante made from,ms_marco,Ranking Error,1
uae exchange currency rate aed to inr,ms_marco,Ranking Error,1
how long do a person earn uif,ms_marco,Ranking Error,1
what is an Oculoplastics,ms_marco,Ranking Error,1
what is benign paroxysmal positional vertigo,ms_marco,Ranking Error,1
what is the function of the ligamentum teres,ms_marco,Ranking Error,1
nc jury duty age limit,ms_marco,Ranking Error,1
installing gas fireplace insert cost,ms_marco,Ranking Error,1
disadvantages of north during civil war,ms_marco,Ranking Error,1
is frankincense oil good for cystic acne,ms_marco,Ranking Error,1
turquoise color considered what element in feng shui,ms_marco,Lexical Miss,0
larissa name meaning wikipedia,ms_marco,Ranking Error,1
what is sideloading,ms_marco,Lexical Miss,0
how to prevent recurrence of pinworms,ms_marco,Ranking Error,1
types of cartilaginous joints,ms_marco,Semantic Miss,0
kelsey name meaning,ms_marco,Ranking Error,1
what does the aortic valve do,ms_marco,Ranking Error,1
can thrush comes through kissing,ms_marco,Ranking Error,1
how to prepare butter for crab legs,ms_marco,Lexical Miss,0
what is a brachiopod,ms_marco,Ranking Error,1
symptoms of meningitis,ms_marco,Ranking Error,1
at what age does the average person start walking,ms_marco,Ranking Error,1
how to get an ohio boating license,ms_marco,Ranking Error,1
is honeydew healthy,ms_marco,Ranking Error,1
what muscles make up the muscular system,ms_marco,Semantic Miss,0
where is haleakala on the islands,ms_marco,Ranking Error,1
should i apply the tb vaccine,ms_marco,Semantic Miss,0
what does coagulase do,ms_marco,Semantic Miss,0
how long to bake a pork chop in the oven,ms_marco,Lexical Miss,0
what organs allow nutrients to be absorbed,ms_marco,Ranking Error,1
what company does allergan owns,ms_marco,Semantic Miss,0
what is a candlenut,ms_marco,Ranking Error,1
what is anmo massage,ms_marco,Ranking Error,1
how contagious is a stomach flu,ms_marco,Ranking Error,1
how to feed a baby parrot,ms_marco,Ranking Error,1
troubleshooting definition,ms_marco,Ranking Error,1
what is normal pulse range for adults,ms_marco,Ranking Error,1
flagstone cost per square foot installed,ms_marco,Ranking Error,1
what is bioarchaeology,ms_marco,Ranking Error,1
define what an aim is,ms_marco,Semantic Miss,0
what is bordetella in dogs,ms_marco,Semantic Miss,0
where do you see the state of arkansas headed to in the near future,ms_marco,Ranking Error,1
where is salalah,ms_marco,Ranking Error,1
what is an incision into the vertebral column,ms_marco,Ranking Error,1
what are faverolle chickens,ms_marco,Semantic Miss,0
sachin cast tamil,ms_marco,Ranking Error,1
what does virtue means,ms_marco,Ranking Error,1
how long before do you need to check in for us flights manchester delta,ms_marco,Ranking Error,1
what foods are typically eaten in ecuador,ms_marco,Semantic Miss,0
name that mean art,ms_marco,Ranking Error,1
average weight age range baby boy,ms_marco,Ranking Error,1
how did galileo prove copernicus theory,ms_marco,Lexical Miss,0
what is geoengineering chemtrails,ms_marco,Ranking Error,1
autosomal recessive polycystic kidney disease,ms_marco,Lexical Miss,0
what was the effect on the us of soviets blockaded berlin,ms_marco,Ranking Error,1
what is a civil offense,ms_marco,Semantic Miss,0
what kind of statues were found in luxor temple,ms_marco,Ranking Error,1
what age can westies leave their mothers,ms_marco,Semantic Miss,0
how much should you charge to paint a door,ms_marco,Ranking Error,1
average household electricity usage,ms_marco,Ranking Error,1
who is billie joe armstrong,ms_marco,Ranking Error,1
what is subchondral sclerosis,ms_marco,Ranking Error,1
what do you do to monitor copd,ms_marco,Ranking Error,1
what is spontaneous radioactive decay,ms_marco,Ranking Error,1
what does plasmodium cause,ms_marco,Ranking Error,1
what is a latin american,ms_marco,Ranking Error,1
what is the average cost of a condo in miami,ms_marco,Ranking Error,1
average price for boat detailing,ms_marco,Ranking Error,1
is saccharomyces boulardii heat resistant,ms_marco,Ranking Error,1
what is the definition of the name norval,ms_marco,Ranking Error,1
how much is naturalization fee,ms_marco,Semantic Miss,0
cost of cremation cost of burial,ms_marco,Ranking Error,1
what is unit for density,ms_marco,Ranking Error,1
normal dosage of diazepam,ms_marco,Ranking Error,1
stucco installation cost,ms_marco,Ranking Error,1
autosomal dominant definition biology,ms_marco,Ranking Error,1
do anaerobic bacteria have catalase,ms_marco,Ranking Error,1
what do transcription factors do in eukaryotic cells,ms_marco,Ranking Error,1
how to cook beets in oven,ms_marco,Ranking Error,1
is cystic fibrosis genetic,ms_marco,Ranking Error,1
what is stone color,ms_marco,Ranking Error,1
the best way to clean your dog's teeth,ms_marco,Ranking Error,1
amex customer care number india,ms_marco,Ranking Error,1
what is emotive words used for,ms_marco,Ranking Error,1
how many miles is malta,ms_marco,Ranking Error,1
when do robin eggs hatch,ms_marco,Ranking Error,1
are ionic bonds strong,ms_marco,Ranking Error,1
if i'm married can i claim our kids turbotax,ms_marco,Lexical Miss,0
the space key on my laptop broken how much to fix it,ms_marco,Semantic Miss,0
what is acetoin,ms_marco,Ranking Error,1
where does lactase come from,ms_marco,Semantic Miss,0
how long after diving before you can fly,ms_marco,Ranking Error,1
where is Faro in portugal,ms_marco,Ranking Error,1
when was the atomic age,ms_marco,Ranking Error,1
can you connect your laptop to your xbox,ms_marco,Ranking Error,1
what do I need to notify the social security about naturalization,ms_marco,Ranking Error,1
does greek yogurt contain probiotics,ms_marco,Ranking Error,1
what breed of pomeranian is boo,ms_marco,Ranking Error,1
cost to fix chimney cap,ms_marco,Ranking Error,1
what is nursing rn bsn,ms_marco,Ranking Error,1
what is ibm devops,ms_marco,Ranking Error,1
what does the romanian flag colors mean,ms_marco,Ranking Error,1
new driveway cost,ms_marco,Ranking Error,1
how many states have legalized marijuana,ms_marco,Ranking Error,1
how much do crutches cost,ms_marco,Lexical Miss,0
average yearly salary of a traveling nurse,ms_marco,Ranking Error,1
what is the incubation period for hpv,ms_marco,Ranking Error,1
what does the name bronson mean,ms_marco,Lexical Miss,0
how much money does the accuplacer companies make,ms_marco,Ranking Error,1
price for hardwood floor refinishing,ms_marco,Semantic Miss,0
what does a snake bite look like,ms_marco,Lexical Miss,0
what is headless mode,ms_marco,Ranking Error,1
can flexible hose on a kitchen faucet be replaced,ms_marco,Ranking Error,1
what is twig,ms_marco,Ranking Error,1
what food produces serotonin,ms_marco,Semantic Miss,0
what is a true nucleus,ms_marco,Ranking Error,1
sudden weight loss medical term,ms_marco,Ranking Error,1
what is single malt whisky,ms_marco,Semantic Miss,0
how much are benefits per employee,ms_marco,Lexical Miss,0
what is a tos?,ms_marco,Ranking Error,1
what is an ecmo,ms_marco,Semantic Miss,0
how to get a workers compensation certificate,ms_marco,Ranking Error,1
where does transcription occur in eukaryotic cells,ms_marco,Ranking Error,1
how long will uncooked chicken last in refrig when power goes out,ms_marco,Ranking Error,1
maximum handicap for for men,ms_marco,Ranking Error,1
what is great barrier reef,ms_marco,Ranking Error,1
average income in mcallen tx,ms_marco,Ranking Error,1
what is rhetorical device,ms_marco,Semantic Miss,0
charge for child in a home daycare,ms_marco,Ranking Error,1
how long is a back brace wear for after fracture,ms_marco,Semantic Miss,0
what does it mean dysbacteriosis,ms_marco,Ranking Error,1
calories in a egg,ms_marco,Ranking Error,1
is a savanna a biome,ms_marco,Semantic Miss,0
how to obtain a copy of marriage license,ms_marco,Ranking Error,1
kilaya name meaning,ms_marco,Semantic Miss,0
in floor heat garage cost,ms_marco,Semantic Miss,0
what is disease when pancreas produces excessive insulin,ms_marco,Ranking Error,1
what does a Ophthalmology nurse do,ms_marco,Ranking Error,1
what does iptg do,ms_marco,Lexical Miss,0
who invented the first rocket that went into space,ms_marco,Ranking Error,1
causes of sensitive skin,ms_marco,Semantic Miss,0
temperature range in singapore,ms_marco,Semantic Miss,0
can you make an ira contribution to a sep,ms_marco,Semantic Miss,0
why is immune system lower?,ms_marco,Lexical Miss,0
what are barnacles,ms_marco,Ranking Error,1
do breccia contain clasts?,ms_marco,Ranking Error,1
how often should you receive a tetanus shot,ms_marco,Ranking Error,1
why is hydroxychloroquine prescribed for lupus,ms_marco,Semantic Miss,0
what causes nodes,ms_marco,Ranking Error,1
how much does a pack of printing paper weigh,ms_marco,Ranking Error,1
what does monocot mean,ms_marco,Ranking Error,1
is marble porous,ms_marco,Ranking Error,1
can polycrylic be used over oil based stain,ms_marco,Ranking Error,1
do you have to buy a plan for sim card for gps tracker,ms_marco,Ranking Error,1
when was san luis obispo founded,ms_marco,Ranking Error,1
what is a fluid clutch used for,ms_marco,Ranking Error,1
why is rubidium stored in oil,ms_marco,Ranking Error,1
what are magnolias,ms_marco,Ranking Error,1
what is the purpose of blood agar plate?,ms_marco,Ranking Error,1
what is shtml,ms_marco,Ranking Error,1
average temp,ms_marco,Semantic Miss,0
where does the idea of purgatory come from,ms_marco,Ranking Error,1
how much is sofosbuv,ms_marco,Ranking Error,1
where is oregon located,ms_marco,Ranking Error,1
average cost for seamless gutters installed,ms_marco,Semantic Miss,0
what does medium do,ms_marco,Semantic Miss,0
what is a normal TSH result,ms_marco,Ranking Error,1
in what type of blood vessels are materials exchanged with the body cells,ms_marco,Ranking Error,1
how to figure out how many tablets to compound,ms_marco,Ranking Error,1
how long does shoulder of pork take to cook,ms_marco,Ranking Error,1
what year was the paperclip invented,ms_marco,Semantic Miss,0
importance of biochemical tests in identification of bacteria,ms_marco,Ranking Error,1
what are goths,ms_marco,Ranking Error,1
how much does an engineer in the navy make,ms_marco,Ranking Error,1
how much salary translator,ms_marco,Ranking Error,1
what causes scratches,ms_marco,Ranking Error,1
what is PVF meaning,ms_marco,Ranking Error,1
where are your deltoids muscles located,ms_marco,Ranking Error,1
what similar strategies did leaders in germany,ms_marco,Ranking Error,1
long distance movers cost,ms_marco,Ranking Error,1
exilis cost,ms_marco,Ranking Error,1
what is a hookah used for,ms_marco,Ranking Error,1
what to do when excel shows formula instead of the result,ms_marco,Ranking Error,1
how to care for indoor potted basil plant,ms_marco,Semantic Miss,0
baby name lina pronunciation,ms_marco,Semantic Miss,0
how to block a vent register,ms_marco,Ranking Error,1
what is the average time to cook a pork chops,ms_marco,Ranking Error,1
what are the ingredients in becel margarine,ms_marco,Ranking Error,1
what is a phosphodiester bonds.,ms_marco,Ranking Error,1
how many calories are in a pint of shrimp fried rice,ms_marco,Ranking Error,1
what is a construction company,ms_marco,Ranking Error,1
why la tomatina is celebrated,ms_marco,Ranking Error,1
chaparral average temperature,ms_marco,Ranking Error,1
the lowest whole number ratio of the elements in a compound is called the,ms_marco,Ranking Error,1
what is a poultice,ms_marco,Ranking Error,1
what is zestra,ms_marco,Ranking Error,1
what to expect two weeks after knee replacement,ms_marco,Ranking Error,1
what is beryl tourmaline,ms_marco,Ranking Error,1
when did hipaa become effective,ms_marco,Ranking Error,1
where is the blarney castle in ireland,ms_marco,Ranking Error,1
what exactly is godzilla,ms_marco,Ranking Error,1
where is the originals tv show filmed,ms_marco,Ranking Error,1
how to do a background check on a potential tenant,ms_marco,Semantic Miss,0
what is the average salary of a cuban worker and how do they manage to live,ms_marco,Semantic Miss,0
what is collagenesis,ms_marco,Ranking Error,1
are vapor cigarettes bad for your lungs,ms_marco,Ranking Error,1
what are the functions of histone acetyltransferases,ms_marco,Ranking Error,1
what causes yersinia pestis,ms_marco,Ranking Error,1
how much do you get paid for being a riding instructor,ms_marco,Ranking Error,1
hereditary polycystic kidney disease,ms_marco,Semantic Miss,0
what term is tranquility,ms_marco,Ranking Error,1
flat coated retriever average life span,ms_marco,Ranking Error,1
who discovered nitrogen,ms_marco,Lexical Miss,0
examples of instantaneous speed,ms_marco,Ranking Error,1
when should my insurance renewal be received,ms_marco,Ranking Error,1
what is fme,ms_marco,Ranking Error,1
what is purinethol,ms_marco,Ranking Error,1
what is the function of the lymphatic tissue that is observed throughout the digestive tract,ms_marco,Ranking Error,1
difference between upstream and downstream oil and gas,ms_marco,Ranking Error,1
what is an electromagnetic pulse,ms_marco,Ranking Error,1
why is pnf stretching good,ms_marco,Lexical Miss,0
what is a boils,ms_marco,Ranking Error,1
typical sales commission percentage,ms_marco,Semantic Miss,0
what is streetwear culture,ms_marco,Ranking Error,1
Test WiFi Signal Strength,ms_marco,Ranking Error,1
warning signs of someone contemplating suicide,ms_marco,Lexical Miss,0
types of dogwoods trees,ms_marco,Ranking Error,1
how old do puppies have to be before they can hear,ms_marco,Semantic Miss,0
where is zakopane,ms_marco,Ranking Error,1
what is a chromosome made of,ms_marco,Ranking Error,1
is ginkgo biloba good for vertigo,ms_marco,Semantic Miss,0
how fast can golf carts go,ms_marco,Ranking Error,1
date shakespeare was born and died,ms_marco,Ranking Error,1
where to buy vivosmart hr activity tracker,ms_marco,Semantic Miss,0
why is it called a moon cactus,ms_marco,Ranking Error,1
The continent with the largest population is __________.,ms_marco,Ranking Error,1
what trees are in the taiga biome,ms_marco,Ranking Error,1
selu annual cost of housing,ms_marco,Ranking Error,1
what are cockles,ms_marco,Semantic Miss,0
What Is Professional Indemnity,ms_marco,Ranking Error,1
what is your spleen responsible for,ms_marco,Ranking Error,1
what receptor does MIBG target,ms_marco,Lexical Miss,0
when were wind turbines invented,ms_marco,Semantic Miss,0
how long does it take for a windmill to pay for itself,ms_marco,Lexical Miss,0
can albuterol be used an advair inhaler,ms_marco,Semantic Miss,0
what are ferns,ms_marco,Semantic Miss,0
what is mexican accordion music called,ms_marco,Ranking Error,1
how much weight does a shipping container hold,ms_marco,Ranking Error,1
indira name meaning,ms_marco,Ranking Error,1
osteoarthritis usually is caused by,ms_marco,Ranking Error,1
how long can a baby snapping turtle stay underwater,ms_marco,Ranking Error,1
how long does it take a baby tortoise to grow,ms_marco,Semantic Miss,0
Transactional writing definition,ms_marco,Ranking Error,1
how many carbs should a diabetic eat daily,ms_marco,Ranking Error,1
what makes a disease monogenic,ms_marco,Semantic Miss,0
what kind of flowers do pyrethrins come from,ms_marco,Ranking Error,1
what causes utis in men,ms_marco,Semantic Miss,0
why is cheltenham a spa town,ms_marco,Lexical Miss,0
the are a series of fibrous connective tissue membranes covering,ms_marco,Semantic Miss,0
why do they call it rubbing alcohol,ms_marco,Ranking Error,1
chain link fence cost per metre,ms_marco,Ranking Error,1
What is average weight of a medium carrot,ms_marco,Ranking Error,1
electrical engineer vs electronics engineer,ms_marco,Ranking Error,1
what elements does sodium chloride contain,ms_marco,Ranking Error,1
Is there any cable which output signal from TV ?,ms_marco,Semantic Miss,0
how do you take mcafee off your computer,ms_marco,Lexical Miss,0
why is it necessary that we have a transport system in the human body,ms_marco,Ranking Error,1
what does the leinster flag mean,ms_marco,Ranking Error,1
what is the definition of an addict,ms_marco,Ranking Error,1
what were the minoans known for,ms_marco,Ranking Error,1
how long does a parvo vaccination last,ms_marco,Ranking Error,1
what type of birth control pill is alesse,ms_marco,Semantic Miss,0
hepatitis definition,ms_marco,Ranking Error,1
cost of gyprocking a house,ms_marco,Ranking Error,1
