seed,query_idx,query,system,hit@5,latency_ms,retrieved_ids,gt_ids
42,18,Subject: Re: electronic odometers (was: Used BMW Question ..... ???),Vanilla RAG,1,24.8067,ng_1516|ng_1292|ng_324|ng_71|ng_694,ng_1516
42,19,Re: help - how to construct home-built battery for 3rd,Vanilla RAG,1,20.2287,ng_8|ng_156|ng_870|ng_751|ng_995,ng_995
42,20,SUMMARY xon and X11R5 Nntp-Posting-Host: bobasun Organization: TI Semiconductor ,Vanilla RAG,1,25.2333,ng_78|ng_524|ng_2156|ng_1573|ng_841,ng_78
42,21,Re: Radar detector DETECTORS? Nntp-Posting-Host: aisun1.ai.uga.edu Organization:,Vanilla RAG,1,27.8258,ng_2153|ng_1688|ng_2273|ng_406|ng_292,ng_2153
42,22,with Rasterops TC Colorboard From: mark@comp.vuw.ac.nz (Mark Davies) Distributio,Vanilla RAG,1,26.8648,ng_42|ng_439|ng_2251|ng_912|ng_1229,ng_42
42,23,Re: History question Organization: NASA Langley Research Center and Reptile,Vanilla RAG,0,20.3497,ng_1968|ng_1212|ng_1489|ng_1829|ng_1267,ng_1972
42,24,Subject: Re: text of White House announcement and Q&As on,Vanilla RAG,0,19.8235,ng_1724|ng_1449|ng_1124|ng_277|ng_949,ng_953
42,25,Subject: X Graphics Accelerators Organization: The Internet Lines: 7 NNTP-Postin,Vanilla RAG,1,23.7914,ng_487|ng_841|ng_1969|ng_556|ng_285,ng_841
42,26,Radar detector DETECTORS? Organization: At UT? That's a joke. Lines:,Vanilla RAG,1,21.2474,ng_2153|ng_2215|ng_1688|ng_406|ng_2273,ng_2215
42,27,What is the current Rom Version shipping in Syquest drives?,Vanilla RAG,1,20.2288,ng_117|ng_1053|ng_1952|ng_1274|ng_1314,ng_117
42,28,"Any recent information on Frescoe? Organization: CenterLine Software, Inc. Lines",Vanilla RAG,1,21.7826,ng_2150|ng_819|ng_1261|ng_1333|ng_74,ng_2150
42,29,Re: Off the shelf cheap DES keyseach machine Organization: AT&T,Vanilla RAG,0,21.8826,ng_763|ng_2091|ng_2341|ng_317|ng_399,ng_702
42,30,Re: Los Angeles Freeway traffic reports Organization: RAND Lines: 29,Vanilla RAG,1,20.4903,ng_1005|ng_2179|ng_551|ng_453|ng_1918,ng_1005
42,31,"Re: Pgp, PEM, and RFC's (Was: Cryptography Patents) Organization: Oce",Vanilla RAG,0,32.3107,ng_1433|ng_1998|ng_38|ng_109|ng_736,ng_707
42,32,"Re: Conductive Plastic, what happened? Organization: Litton Systems, Toronto ONT",Vanilla RAG,1,30.742,ng_1496|ng_697|ng_400|ng_1644|ng_1904,ng_1496
42,33,Subscription Organization: The Internet Lines: 7 To: xpert@expo.lcs.mit.edu Plea,Vanilla RAG,0,25.2654,ng_1379|ng_1476|ng_255|ng_744|ng_2284,ng_368
42,34,"do Nuclear Site's Cooling Towers do? Organization: University of Technology,",Vanilla RAG,1,20.6479,ng_2032|ng_1767|ng_1728|ng_12|ng_1921,ng_1921
42,35,Subject: Re: Centris Cache & Bernoulli Box Article-I.D.: snll-arp.519 Distributi,Vanilla RAG,1,32.9371,ng_2250|ng_690|wf07_d2_chunk_0|ng_603|wf07_s1_chunk_0,ng_2250
42,36,Subject: 40MHZ Oscilloscope FOR SALE Organization: NETCOM On-line Communication ,Vanilla RAG,1,24.0802,ng_757|ng_2110|ng_728|ng_2127|ng_1113,ng_757
42,37,Re: Do we need the clipper for cheap security? Organization:,Vanilla RAG,0,20.1161,ng_1355|ng_209|ng_1808|ng_40|ng_1784,ng_895
42,38,XWindows always opaque Summary: is there a way for a,Vanilla RAG,1,19.2673,ng_1779|ng_1466|ng_430|ng_2319|ng_264,ng_1779
42,39,"Re: The battle is joined Organization: Harvey Mudd College, Claremont,",Vanilla RAG,1,20.4634,ng_1267|ng_2205|ng_470|ng_744|ng_976,ng_470
42,40,Re: The [secret] source of that announcement Lines: 19 Even,Vanilla RAG,0,19.9982,ng_1565|ng_1829|ng_1332|ng_1489|ng_2131,ng_2083
42,41,"Re: Once tapped, your code is no good any more.",Vanilla RAG,0,19.5626,ng_691|ng_1507|ng_2254|ng_1137|ng_1700,ng_658
42,42,color on button on enter window. Distribution: usa Organization: UB,Vanilla RAG,1,22.5647,ng_1666|ng_1545|ng_745|ng_210|ng_320,ng_1666
42,43,Re: Q: How to avoid XOpenDisplay hang? Keywords: Xlib Article-I.D.:,Vanilla RAG,1,25.1367,ng_1374|ng_55|ng_1915|ng_1093|ng_1655,ng_55
42,44,Re: Radar detector DETECTORS? Organization: U of Toronto Zoology Lines:,Vanilla RAG,1,21.2372,ng_1945|ng_2257|ng_1688|ng_2273|ng_1676,ng_2257
42,45,"Subject: Re: Facinating facts: 30 bit serial number, possibly fixed",Vanilla RAG,0,21.0996,ng_1970|ng_867|ng_913|ng_732|ng_1909,ng_56
42,46,CSC) Subject: Re: Monthly Question about XCopyArea() and Expose Events,Vanilla RAG,1,22.6997,ng_970|ng_1367|ng_578|ng_1713|ng_163,ng_970
42,47,"Xarchie-2.0 available on export Organization: Department of Computer Science, Un",Vanilla RAG,1,21.5,ng_6|ng_1076|ng_2125|ng_655|ng_771,ng_6
42,48,"Re: Trace size for a 15 Amp supply Organization: SSC,",Vanilla RAG,1,19.9052,ng_111|ng_828|ng_1405|wf05_d2_chunk_0|wf05_d1_chunk_0,ng_828
42,49,Subject: Need diode model for PSpice Organization: University at Buffalo,Vanilla RAG,1,20.6878,ng_541|ng_400|ng_1767|ng_1904|ng_1644,ng_541
42,50,"icon pixmap problem... Keywords: icon, motif, openlook Nntp-Posting-Host: dale.s",Vanilla RAG,1,29.746,ng_208|ng_891|ng_1936|ng_649|ng_2148,ng_208
42,51,Need pinouts for a G8870 dtmf decoder chip Organization: NETCOM,Vanilla RAG,1,23.7965,ng_1451|ng_1373|ng_1514|ng_1844|ng_666,ng_1451
42,52,Re: Help wanted Organization: Macquarie University Lines: 54 Distribution: world,Vanilla RAG,0,20.8634,ng_1277|ng_1252|ng_976|ng_744|ng_98,ng_1544
42,53,"Re: Clipper chip -- technical details Organization: Computer Science Dept,",Vanilla RAG,0,20.3168,ng_1674|ng_410|ng_383|ng_2067|ng_953,ng_1397
42,54,Re: x86 ~= 680x0 ?? (How do they compare?) Distribution:,Vanilla RAG,0,22.3813,ng_2299|ng_173|ng_1081|ng_685|ng_1645,ng_2168
42,55,"Subject: Don't fight Clipper Chip, subvert or replace it !",Vanilla RAG,0,21.607,ng_1288|ng_1378|ng_1674|ng_953|ng_1874,ng_485
42,56,"cheap products? Organization: Stratus Computer, Marlboro Ma. Lines: 22 NNTP-Post",Vanilla RAG,0,26.0495,ng_959|ng_1953|ng_1427|ng_387|ng_1612,ng_686
42,57,"Re: Asynchronous X Windows? Organization: CenterLine Software, Inc. Lines: 45",Vanilla RAG,1,23.8557,ng_866|ng_1116|ng_1171|ng_116|ng_894,ng_866
42,58,Re: Radio Electronics Free information card Nntp-Posting-Host: bopper2.phx.mcd.m,Vanilla RAG,1,29.1682,ng_65|ng_1879|ng_2279|ng_2286|ng_1140,ng_1879
42,59,Re: HP DeskWriter 550C...Opinions? Feedback! In-Reply-To: phil@csc.liv.ac.uk's m,Vanilla RAG,1,29.3946,ng_1365|ng_2275|ng_1804|ng_842|ng_1910,ng_2275
42,60,"Re: Pgp, PEM, and RFC's (Was: Cryptography Patents) Organization: Oce",Vanilla RAG,1,24.1908,ng_1433|ng_1998|ng_38|ng_109|ng_736,ng_109
42,61,up cable tv with an aerial. Lines: 37 Nntp-Posting-Host: wcsub.ctstateu.edu,Vanilla RAG,1,27.4699,ng_1942|ng_2009|ng_2078|ng_2159|ng_1301,ng_2009
42,62,"Subject: Athena Widgets Organization: University of North Dakota; Grand Forks,",Vanilla RAG,1,20.9415,ng_328|ng_351|ng_1379|ng_1276|ng_1829,ng_328
42,63,Re: Laser vs Bubblejet? Organization: Northeastern Ohio Universities College of,Vanilla RAG,0,19.8784,ng_1293|ng_1033|ng_52|ng_219|ng_908,ng_2263
42,64,Subject: 10th International Obfuscated C Code Contest Opening (part 2,Vanilla RAG,1,20.3326,ng_14|ng_1157|ng_187|ng_447|ng_1577,ng_14
42,65,Subject: Re: Stereo sound problem (?) on mac games Organization:,Vanilla RAG,1,20.406,ng_1414|ng_1437|ng_355|ng_1607|ng_2044,ng_1414
42,66,Re: Honors Degrees: Do they mean anything? Organization: Ford Motor,Vanilla RAG,1,21.5627,ng_823|ng_1735|ng_474|ng_744|ng_2308,ng_823
42,67,Radar detector DETECTORS? Organization: TRIUMF: Tri-University Meson Facility Li,Vanilla RAG,1,23.1029,ng_2153|ng_1688|ng_2273|ng_292|ng_1676,ng_1688
42,68,Subject: X Error of failed request: BadPixmap (invalid Pixmap parameter),Vanilla RAG,1,23.4987,ng_649|ng_1732|ng_1554|ng_1304|ng_1837,ng_649
42,69,"Re: Once tapped, your code is no good any more.",Vanilla RAG,0,20.8151,ng_691|ng_1507|ng_2254|ng_1137|ng_1700,ng_1035
42,70,Re: Clipper chip -- technical details Organization: AT&T Bell Laboratories,Vanilla RAG,0,21.4067,ng_1448|ng_1674|ng_383|ng_2061|ng_849,ng_253
42,71,Re: Clipper considered harmful Organization: Express Access Online Communication,Vanilla RAG,0,20.5499,ng_726|ng_339|ng_1599|ng_1192|ng_772,ng_411
42,72,Subject: Re: Off the shelf cheap DES keyseach machine (Was:,Vanilla RAG,0,20.738,ng_763|ng_466|ng_1439|ng_2294|ng_139,ng_344
42,73,Subject: Re: Forcing a window manager to accept specific coordinates,Vanilla RAG,0,19.9156,ng_1099|ng_1538|ng_847|ng_1197|ng_704,ng_1090
42,74,parking HD heads when iddle Nntp-Posting-Host: mvs.oac.ucla.edu Lines: 8 The,Vanilla RAG,1,25.318,ng_1272|ng_2079|ng_235|ng_676|ng_1374,ng_1272
42,75,"Subject: Re: Motif vs. [Athena, etc.] Organization: Bond University, AUSTRALIA",Vanilla RAG,1,21.7791,ng_2013|ng_859|ng_5|ng_158|ng_2304,ng_2013
42,76,Subject: xcursor4.1 Organization: National Center for Atmospheric Research Lines,Vanilla RAG,1,28.0688,ng_843|ng_378|ng_1000|ng_1968|ng_767,ng_843
42,77,"Re: subliminal message flashing on TV Organization: Hewlett-Packard, Fort Collin",Vanilla RAG,1,32.7292,ng_2327|ng_1432|ng_1046|ng_1318|ng_205,ng_1318
42,78,Quadras VRAM Question X-Xxmessage-Id: <A7F4F033E3012026@planet.imag.fr> X-Xxdate,Vanilla RAG,1,40.6236,ng_458|ng_978|ng_436|ng_1344|ng_2049,ng_458
42,79,Re: How to the disks copy protected. Originator: sehari@du139-213.cc.iastate.edu,Vanilla RAG,1,28.2029,ng_2206|ng_2207|ng_2192|ng_775|ng_848,ng_2207
42,80,Re: Secret algorithm [Re: Clipper Chip and crypto key-escrow] Organization:,Vanilla RAG,1,22.7119,ng_509|ng_21|ng_1382|ng_1021|ng_122,ng_21
42,81,Subject: Real-Time Data Display Tool Organization: University of Michigan Engine,Vanilla RAG,1,20.5634,ng_1901|ng_894|ng_634|ng_1333|ng_461,ng_1901
42,82,R4 Version of xrecplay Reply-To: mccoy@gothamcity.jsc.nasa.gov Organization: I-N,Vanilla RAG,1,27.4576,ng_378|ng_1573|ng_1266|ng_2140|ng_2156,ng_378
42,83,Re: Analog switches/Balanced Demodulators Distribution: na Organization: Univers,Vanilla RAG,1,22.7246,ng_984|ng_934|ng_1362|ng_1818|ng_665,ng_934
42,84,"Salomon Brothers Inc., NY ) Subject: Re: Source of random",Vanilla RAG,0,23.5661,ng_1829|ng_1489|ng_976|ng_1415|ng_147,ng_1634
42,85,"PSI Comstation 5 Organization: the ModemLink Network, Long Island, New",Vanilla RAG,1,22.6218,ng_1004|ng_2027|ng_483|ng_490|ng_444,ng_1004
42,86,how to boot from ext HD on power on ?,Vanilla RAG,1,20.2324,ng_1533|ng_2316|ng_1396|ng_2149|ng_1821,ng_1533
42,87,Subject: [EFF] Initial EFF Analysis of Clinton Privacy and Security,Vanilla RAG,1,25.5646,ng_949|ng_1389|ng_1944|ng_1560|ng_213,ng_1389
42,88,Re: How does it really work? (was Re: text of,Vanilla RAG,0,20.7596,ng_611|ng_1332|ng_2253|ng_1212|ng_1194,ng_377
42,89,re: WH announcement Reply-To: tuinstra@sunspot.ece.clarkson.edu.soe Organization,Vanilla RAG,0,30.5431,ng_1765|ng_1084|ng_2018|ng_2336|ng_1143,ng_1123
42,90,player going wonky - advise needed ! Lines: 18 Organization:,Vanilla RAG,0,20.4875,ng_596|ng_1829|ng_1086|ng_83|ng_86,ng_593
42,91,"Racet Optical Organization: Computer Science Department, Boston University, Bost",Vanilla RAG,0,22.7232,ng_1803|ng_2251|ng_1052|ng_151|ng_1862,ng_1656
42,92,Video cable options X-Xxmessage-Id: <A7F4A7E9FF0200ED@kimball-pc-316.stanford.ed,Vanilla RAG,1,35.8622,ng_1148|ng_87|ng_1161|ng_818|ng_25,ng_1148
42,93,Re: DESQview/X on a PC? Organization: AOTC - CSSC Lines:,Vanilla RAG,1,22.8058,ng_1790|ng_1608|ng_818|ng_116|ng_1283,ng_1790
42,94,"german keyboard, X11R5 and Sparc Nntp-Posting-Host: polaris.informatik.uni-essen",Vanilla RAG,1,32.3982,ng_106|ng_1576|ng_1826|ng_2156|ng_289,ng_106
42,95,Re: chip / chipset for code 39 barcode? Organization: Brock,Vanilla RAG,1,21.1673,ng_142|ng_190|ng_489|ng_1085|ng_913,ng_142
42,96,"Subject: Re: Once tapped, your code is no good any",Vanilla RAG,0,19.9323,ng_2254|ng_691|ng_1700|ng_1385|ng_2131,ng_1051
42,97,Subject: Re: Off the shelf cheap DES keyseach machine (Was:,Vanilla RAG,0,21.3633,ng_763|ng_466|ng_1439|ng_2294|ng_139,ng_1377
42,98,Re: text of White House announcement and Q&As on clipper,Vanilla RAG,0,20.4305,ng_1331|ng_277|ng_1449|ng_1347|ng_820,ng_110
42,99,Re: How do they know what keys to ask for?,Vanilla RAG,1,21.78,ng_699|ng_381|ng_1101|ng_1584|ng_617,ng_699
42,100,What is the JWT expiry policy for JWT Authentication?,Vanilla RAG,1,20.1828,wf01_s5_chunk_0|wf01_s1_chunk_0|wf01_d1_chunk_0|wf01_d2_chunk_0|wf01_d3_chunk_0,wf01_s1_chunk_0
42,101,How is JWT expiry implemented using PyJWT+Redis?,Vanilla RAG,1,21.664,wf01_s1_chunk_0|wf01_s3_chunk_0|wf01_s4_chunk_0|wf01_d2_chunk_0|wf01_s5_chunk_0,wf01_s1_chunk_0
42,102,Find the backend standard for session token lifetime.,Vanilla RAG,1,19.1995,wf01_d3_chunk_0|wf01_d2_chunk_0|wf01_s1_chunk_0|wf01_s5_chunk_0|wf01_s3_chunk_0,wf01_s1_chunk_0|wf01_s4_chunk_0
42,103,Summarise the technical decision on session token lifetime during JWT Authentica,Vanilla RAG,0,25.1472,wf01_d3_chunk_0|wf01_d2_chunk_0|wf01_s5_chunk_0|wf01_d1_chunk_0|wf01_s1_chunk_0,wf01_s4_chunk_0
42,104,What is the final JWT expiry rule deployed to production after the sprint overri,Vanilla RAG,1,25.9106,wf01_s5_chunk_0|wf01_s3_chunk_0|wf01_s1_chunk_0|wf01_d1_chunk_0|wf01_d2_chunk_0,wf01_s5_chunk_0
42,105,"Was the temporary 60-minute expiry change kept, or did we revert to the original",Vanilla RAG,1,24.4748,wf01_d2_chunk_0|wf01_d3_chunk_0|wf01_d1_chunk_0|wf01_s5_chunk_0|wf01_s3_chunk_0,wf01_s3_chunk_0|wf01_s5_chunk_0
42,106,Which document defines 15-minute expiry as the approved JWT expiry setting?,Vanilla RAG,1,22.3892,wf01_d1_chunk_0|wf01_s5_chunk_0|wf01_d2_chunk_0|wf01_s1_chunk_0|wf01_s3_chunk_0,wf01_s1_chunk_0
42,107,Confirm the architecture decision that adopted 15-minute expiry for JWT Authenti,Vanilla RAG,1,21.2408,wf01_s5_chunk_0|wf01_d1_chunk_0|wf01_s1_chunk_0|wf01_d2_chunk_0|wf01_d3_chunk_0,wf01_s1_chunk_0
42,108,What is the primary keys policy for Database Schema?,Vanilla RAG,1,21.2879,wf02_d1_chunk_0|wf02_d2_chunk_0|wf02_s5_chunk_0|wf02_s1_chunk_0|wf02_d3_chunk_0,wf02_s1_chunk_0
42,109,How is primary keys implemented using Alembic+PostgreSQL?,Vanilla RAG,1,20.8109,wf02_s1_chunk_0|wf02_d2_chunk_0|wf02_d1_chunk_0|wf02_s3_chunk_0|wf02_s4_chunk_0,wf02_s1_chunk_0
42,110,Find the backend standard for row identifier scheme.,Vanilla RAG,1,19.8089,wf02_s4_chunk_0|wf02_s1_chunk_0|wf02_d3_chunk_0|wf02_d2_chunk_0|ng_1395,wf02_s1_chunk_0|wf02_s4_chunk_0
42,111,Summarise the technical decision on row identifier scheme during Database Schema,Vanilla RAG,1,23.0253,wf02_s4_chunk_0|wf02_d3_chunk_0|wf02_d1_chunk_0|wf02_s1_chunk_0|wf02_d2_chunk_0,wf02_s4_chunk_0
42,112,What is the final primary keys rule deployed to production after the sprint over,Vanilla RAG,1,21.016,wf02_s5_chunk_0|wf02_d1_chunk_0|wf02_d2_chunk_0|wf02_s1_chunk_0|wf02_s3_chunk_0,wf02_s5_chunk_0
42,113,"Was the temporary auto-incrementing integer PKs change kept, or did we revert to",Vanilla RAG,1,25.6085,wf02_s3_chunk_0|wf02_s5_chunk_0|wf02_s1_chunk_0|wf02_d3_chunk_0|ng_637,wf02_s3_chunk_0|wf02_s5_chunk_0
42,114,Which document defines UUID primary keys as the approved primary keys setting?,Vanilla RAG,1,19.7683,wf02_s1_chunk_0|wf02_s5_chunk_0|wf02_d2_chunk_0|wf02_d1_chunk_0|wf02_d3_chunk_0,wf02_s1_chunk_0
42,115,Confirm the architecture decision that adopted UUID primary keys for Database Sc,Vanilla RAG,1,19.7639,wf02_s5_chunk_0|wf02_s1_chunk_0|wf02_d3_chunk_0|wf02_d2_chunk_0|wf02_d1_chunk_0,wf02_s1_chunk_0
42,116,What is the domain boundary policy for Microservice Context?,Vanilla RAG,1,19.2156,wf03_d1_chunk_0|wf03_s5_chunk_0|wf03_s1_chunk_0|wf03_d2_chunk_0|wf03_d3_chunk_0,wf03_s1_chunk_0
42,117,How is domain boundary implemented using gRPC+Protobuf?,Vanilla RAG,1,19.6909,wf03_s1_chunk_0|wf14_s1_chunk_0|wf14_d2_chunk_0|wf14_d3_chunk_0|wf14_d1_chunk_0,wf03_s1_chunk_0
42,118,Find the architecture standard for inter-service coupling.,Vanilla RAG,1,18.3683,wf03_d3_chunk_0|wf03_s1_chunk_0|wf03_s4_chunk_0|wf03_d2_chunk_0|wf19_s4_chunk_0,wf03_s1_chunk_0|wf03_s4_chunk_0
42,119,Summarise the technical decision on inter-service coupling during Microservice C,Vanilla RAG,1,21.5781,wf03_d3_chunk_0|wf03_d2_chunk_0|wf03_d1_chunk_0|wf03_s1_chunk_0|wf03_s4_chunk_0,wf03_s4_chunk_0
42,120,What is the final domain boundary rule deployed to production after the sprint o,Vanilla RAG,1,22.87,wf03_s5_chunk_0|wf03_d1_chunk_0|wf04_s3_chunk_0|wf15_s3_chunk_0|wf18_s3_chunk_0,wf03_s5_chunk_0
42,121,"Was the temporary shared database schema change kept, or did we revert to the or",Vanilla RAG,1,36.9136,wf03_s3_chunk_0|wf15_s4_chunk_0|wf03_d3_chunk_0|wf15_d3_chunk_0|wf15_s3_chunk_0,wf03_s3_chunk_0|wf03_s5_chunk_0
42,122,Which document defines strict domain boundary as the approved domain boundary se,Vanilla RAG,1,20.562,wf03_s5_chunk_0|wf03_s1_chunk_0|wf03_d1_chunk_0|wf16_d1_chunk_0|wf04_s5_chunk_0,wf03_s1_chunk_0
42,123,Confirm the architecture decision that adopted strict domain boundary for Micros,Vanilla RAG,1,21.4762,wf03_s5_chunk_0|wf03_d1_chunk_0|wf03_s1_chunk_0|wf03_d3_chunk_0|wf03_d2_chunk_0,wf03_s1_chunk_0
42,124,What is the PR approvals policy for CI/CD Pipeline?,Vanilla RAG,1,19.5812,wf04_d2_chunk_0|wf04_s5_chunk_0|wf04_d1_chunk_0|wf04_s1_chunk_0|wf04_d3_chunk_0,wf04_s1_chunk_0
42,125,How is PR approvals implemented using GitHub Actions?,Vanilla RAG,1,19.3638,wf04_s1_chunk_0|wf04_d2_chunk_0|wf04_s5_chunk_0|wf04_d1_chunk_0|ng_628,wf04_s1_chunk_0
42,126,Find the devops standard for merge gate policy.,Vanilla RAG,1,18.7571,wf04_s4_chunk_0|wf04_d3_chunk_0|wf04_s1_chunk_0|wf04_s5_chunk_0|wf19_s5_chunk_0,wf04_s1_chunk_0|wf04_s4_chunk_0
42,127,Summarise the technical decision on merge gate policy during CI/CD Pipeline desi,Vanilla RAG,1,21.6223,wf04_d3_chunk_0|wf04_s4_chunk_0|wf04_s1_chunk_0|wf04_s5_chunk_0|wf04_d2_chunk_0,wf04_s4_chunk_0
42,128,What is the final PR approvals rule deployed to production after the sprint over,Vanilla RAG,1,21.0723,wf04_s5_chunk_0|wf04_s3_chunk_0|wf04_d1_chunk_0|wf05_s3_chunk_0|wf04_d2_chunk_0,wf04_s5_chunk_0
42,129,"Was the temporary admin bypass override change kept, or did we revert to the ori",Vanilla RAG,1,27.2431,wf04_s3_chunk_0|wf19_s5_chunk_0|wf15_s5_chunk_0|wf16_s3_chunk_0|wf01_s5_chunk_0,wf04_s3_chunk_0|wf04_s5_chunk_0
42,130,Which document defines require 2 PR approvals as the approved PR approvals setti,Vanilla RAG,1,21.3396,wf04_d2_chunk_0|wf04_d1_chunk_0|wf04_s5_chunk_0|wf04_s1_chunk_0|wf16_d1_chunk_0,wf04_s1_chunk_0
42,131,Confirm the architecture decision that adopted require 2 PR approvals for CI/CD ,Vanilla RAG,1,22.1284,wf04_s1_chunk_0|wf04_d2_chunk_0|wf04_s5_chunk_0|wf04_d1_chunk_0|wf04_d3_chunk_0,wf04_s1_chunk_0
42,132,What is the trace sampling policy for Observability Stack?,Vanilla RAG,1,20.759,wf05_d2_chunk_0|wf05_s5_chunk_0|wf05_d1_chunk_0|wf05_s1_chunk_0|wf05_d3_chunk_0,wf05_s1_chunk_0
42,133,How is trace sampling implemented using OpenTelemetry?,Vanilla RAG,1,19.0799,wf05_s1_chunk_0|wf05_d2_chunk_0|wf05_s3_chunk_0|wf05_d3_chunk_0|wf05_d1_chunk_0,wf05_s1_chunk_0
42,134,Find the devops standard for telemetry capture rate.,Vanilla RAG,1,20.2452,wf05_s4_chunk_0|ng_2127|wf05_s1_chunk_0|wf05_d2_chunk_0|wf05_d1_chunk_0,wf05_s1_chunk_0|wf05_s4_chunk_0
42,135,Summarise the technical decision on telemetry capture rate during Observability ,Vanilla RAG,1,22.814,wf05_s1_chunk_0|wf05_s4_chunk_0|wf05_d1_chunk_0|wf05_d3_chunk_0|wf05_s3_chunk_0,wf05_s4_chunk_0
42,136,What is the final trace sampling rule deployed to production after the sprint ov,Vanilla RAG,1,20.7575,wf05_s3_chunk_0|wf05_s5_chunk_0|wf05_d2_chunk_0|wf05_d1_chunk_0|wf05_d3_chunk_0,wf05_s5_chunk_0
42,137,"Was the temporary 100% full trace sampling change kept, or did we revert to the ",Vanilla RAG,1,24.7353,wf05_d2_chunk_0|wf05_s3_chunk_0|wf05_d1_chunk_0|wf05_s1_chunk_0|wf05_s5_chunk_0,wf05_s3_chunk_0|wf05_s5_chunk_0
42,138,Which document defines 10% trace sampling as the approved trace sampling setting,Vanilla RAG,1,19.7911,wf05_d2_chunk_0|wf05_d1_chunk_0|wf05_s5_chunk_0|wf05_s1_chunk_0|wf05_d3_chunk_0,wf05_s1_chunk_0
42,139,Confirm the architecture decision that adopted 10% trace sampling for Observabil,Vanilla RAG,1,21.2303,wf05_s1_chunk_0|wf05_d2_chunk_0|wf05_s5_chunk_0|wf05_d1_chunk_0|wf05_d3_chunk_0,wf05_s1_chunk_0
42,140,What is the rate limit policy for API Gateway Rate Limiting?,Vanilla RAG,0,20.1428,wf06_d2_chunk_0|wf06_s5_chunk_0|wf06_d1_chunk_0|wf06_d3_chunk_0|wf06_s4_chunk_0,wf06_s1_chunk_0
42,141,How is rate limit implemented using nginx+Lua?,Vanilla RAG,1,19.8447,wf06_s1_chunk_0|wf06_s3_chunk_0|wf06_s4_chunk_0|wf06_d2_chunk_0|wf06_d1_chunk_0,wf06_s1_chunk_0
42,142,Find the backend standard for inbound request throttle.,Vanilla RAG,1,19.7929,wf06_s4_chunk_0|wf06_s5_chunk_0|wf06_d3_chunk_0|wf06_s1_chunk_0|wf06_d1_chunk_0,wf06_s1_chunk_0|wf06_s4_chunk_0
