dataset,query_idx,query_type,system,query,recall@1,recall@3,recall@5,mrr,latency_ms
MS-MARCO,148,exact,dense,what are signs of dementia,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,149,exact,dense,what does a firewall do,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,150,exact,dense,what is a captor,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,151,exact,dense,how to oven roast brussel sprouts,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,152,exact,dense,is chase website down today,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,153,exact,dense,what does the surname holt mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,154,exact,dense,new oil furnace should cost,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,155,exact,dense,what is progressive reform,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,156,exact,dense,who invented the first vehicle,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,157,exact,dense,why do my eyes look squinty in pictures,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,158,exact,dense,what is cabaret music,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,159,exact,dense,how much does an mri cost in dallas,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,160,exact,dense,ainsley name meaning,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,161,exact,dense,what is a bandog,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,162,exact,dense,what is craic mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,163,exact,dense,do you have to be smart to be an ultrasound tech,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,164,exact,dense,where is the parietal lobe located,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,165,exact,dense,what is functional constipation,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,166,exact,dense,what causes a hoarse voice,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,167,exact,dense,what is a bear's hand called,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,168,exact,dense,what is mediastinal mass,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,169,exact,dense,what group does the squirrel monkey belong to,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,170,exact,dense,what does the name carmel mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,171,exact,dense,nike name meaning,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,172,exact,dense,peripheral nervous is part of what system,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,173,exact,dense,where was chayanne born,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,174,exact,dense,cost to install a deck,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,175,exact,dense,qualification of a registered biomedical scientist,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,176,exact,dense,what is astrocyte function,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,177,exact,dense,where was laura ingalls wilder born,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,178,exact,dense,where is Serotonin made in the body,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,179,exact,dense,weighted average price,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,180,exact,dense,what is austenitic and martensitic,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,181,exact,dense,can other fish be placed with bala sharks,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,182,exact,dense,how often is cal grant disbursed,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,183,exact,dense,why was the napoleonic code significant,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,184,exact,dense,what is thick waxy coating means in microbiology,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,185,exact,dense,what evidence does dna show,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,186,exact,dense,scarlett johansson comic book movie roles,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,187,exact,dense,what is adobo chicken,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,188,exact,dense,where do zebras live,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,189,exact,dense,what kind of climate do truffles grow in,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,190,exact,dense,average cost of dog teeth cleaning,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,191,exact,dense,what does a chromosome do,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,192,exact,dense,what if jury summons excuses confirmation notice,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,193,exact,dense,does poppy seed mean mustard seeds,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,194,exact,dense,what is the importance of having an organizational structure in a project environment,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,195,exact,dense,temperature effect on cellular respiration,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,196,exact,dense,with what product did the term brand name originate,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,197,exact,dense,eye problems caused by graves disease,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,198,exact,dense,does the cardiovascular system produce hormones,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,199,exact,dense,how to cook eat crab,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,200,exact,dense,who wrote Nothing compares to you,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,201,exact,dense,cost for relining dentures,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,202,exact,dense,what is sherry wine made of,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,203,exact,dense,dna in bacteria,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,204,exact,dense,primary secondary and tertiary sectors definition,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,205,exact,dense,what is mf ceiling,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,206,exact,dense,how long does collar dove take to hatch,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,207,exact,dense,how much does an lpn make an hour in illinois,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,208,exact,dense,what does the aortic valve do,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,209,exact,dense,common extensor tendon origin and insertion,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,210,exact,dense,when was the death penalty abolished,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,211,exact,dense,how long does a raincheck from tractor supply last?,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,212,exact,dense,what types of movements are observed in transport of bedload,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,213,exact,dense,what is the average bookkeeper hourly rate,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,214,exact,dense,what is stone color,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,215,exact,dense,what does a k in a mustang's vin code mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,216,exact,dense,what are environmental impacts of hydropower,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,217,exact,dense,anandi name meaning,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,218,exact,dense,what is mesothelioma cancer,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,219,exact,dense,do you have to have a special license to be a plumber virginia,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,220,exact,dense,what effect would cutting the vagus nerve branch that innervates the stomach on gastric function,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,221,exact,dense,what does superficial muscles mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,222,exact,dense,what are kelpies,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,223,exact,dense,how much money does a hoverboard cost,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,224,exact,dense,how much does a social worker make in florida,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,225,exact,dense,how long do you have to be working at a job to get maternity leave,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,226,exact,dense,what is the average cost of a funeral,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,227,exact,dense,what is a mango lassi,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,228,exact,dense,is a swollen tongue a sign of cancer,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,229,exact,dense,how many hours does a radiologist work,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,230,exact,dense,salary for insurance agent,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,231,exact,dense,what is pygeum used for,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,232,exact,dense,what is transesophageal echocardiogram,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,233,exact,dense,average price of a kayak pool,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,234,exact,dense,what are dangerous carbon monoxide levels,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,235,exact,dense,what are fingernails made of,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,236,exact,dense,what does the frontal sinus do,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,237,exact,dense,definition epistle,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,238,exact,dense,sensorineural hearing loss diagnosis code,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,239,exact,dense,where did sacagawea grow up,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,240,exact,dense,what does the amplitude mean in a cosine equation,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,241,exact,dense,what flavor is black truffle,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,242,exact,dense,average cost of redoing a small bathroom,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,243,exact,dense,why is immune system lower?,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,244,exact,dense,how many kWh does one person use per day,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,245,exact,dense,how long do lab mixes live,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,246,exact,dense,what is korean ethnicity,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,247,exact,dense,how long to bake chicken legs for,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,248,exact,dense,how much do ladies footballers get paid,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,249,exact,dense,what are the colors of the Zantedeschia flower,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,250,exact,dense,how long after conception will a urine pregnancy test show positive,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,251,exact,dense,what receptor does MIBG target,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,252,exact,dense,what is platform analytics,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,253,exact,dense,steam cleaning carpet pesticides,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,254,exact,dense,do nerves contain collagen,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,255,exact,dense,meaning of name myah,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,256,exact,dense,when was lady jane grey born,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,257,exact,dense,how much will new brakes cost for my car,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,258,exact,dense,is there a age requirement to become ny corrections,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,259,exact,dense,best way to debug shell script,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,260,exact,dense,what artery supplies dorsal part of hand,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,261,exact,dense,what is ionic,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,262,exact,dense,how to wash clothes with mites,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,263,exact,dense,what is chyle leak,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,264,exact,dense,what is gaskin maneuver shoulder dystocia,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,265,exact,dense,is hepatitis classified as autoimmune disease,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,266,exact,dense,what is tetramethylammonium chloride used for,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,267,exact,dense,how to turn xerox printer online,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,268,exact,dense,what is nitrofurantoin used for,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,269,exact,dense,how long do artichoke seeds take to germinate,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,270,exact,dense,why does my gas pedal keep sticking,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,271,exact,dense,what general function does the skeletal system perform,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,272,exact,dense,which planets are considered twins,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,273,exact,dense,correlational study definition,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,274,exact,dense,silver rate today in vijayawada,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,275,exact,dense,what is contract furniture,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,276,exact,dense,cost of postage to france,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,277,exact,dense,how to cook swordfish in a pan,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,278,exact,dense,which range of mountains is growing the fastest the himalayas or the andes,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,279,exact,dense,what is gullah culture,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,280,exact,dense,size of postcards for us post office,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,281,exact,dense,types of connective tissue in the heart,0.0,0.0,1.0,0.25,0.2739
